accession,organism_name,common_name,species_taxid,infraclass,order,family,genus,assembly_name,assembly_level,refseq_category,scaffold_n50,contig_n50,total_sequence_length,scaffold_count,contig_count,gc_percent,genome_coverage,gene_count,protein_coding_count,submission_date,annotation_name
GCF_025201925.1,Gopherus flavomarginatus,Mexican gopher tortoise,286002,,Testudines,Testudinidae,Gopherus,rGopFla2.mat.asm,Chromosome,reference genome,162938067,6917139,2460542086,621,2483,44.5,57.78,29021,20882,2022-09-15,GCF_025201925.1-RS_2023_02
GCF_003597395.2,Chelonoidis abingdonii,Abingdon island giant tortoise,106734,,Testudines,Testudinidae,Chelonoidis,CheloAbing_2.0,Chromosome,reference genome,148185065,119261,2256468705,3849,39189,44,28,23434,19060,2025-04-29,GCF_003597395.2-RS_2025_06
GCF_007399415.2,Gopherus evgoodei,Goodes thornscrub tortoise,1825980,,Testudines,Testudinidae,Gopherus,rGopEvg1_v1.p,Chromosome,reference genome,147425149,13026736,2298547364,382,932,44,58,26465,20174,2019-07-25,NCBI Gopherus evgoodei Annotation Release 100
GCF_049634645.1,Pelodiscus sinensis,Chinese soft-shelled turtle,13735,,Testudines,Trionychidae,Pelodiscus,ASM4963464v1,Chromosome,reference genome,129579767,107607917,2243870947,275,322,45.5,40,33914,21463,2025-04-15,GCF_049634645.1-RS_2025_08
GCF_048569485.1,Anomaloglossus baeobatrachus,,238106,Amphibia,Anura,Aromobatidae,Anomaloglossus,aAnoBae1.hap1,Chromosome,reference genome,707508717,2835192,6265077250,3642,7414,46.5,23.1,74270,23328,2025-03-13,GCF_048569485.1-RS_2025_07
GCF_040206685.1,Ascaphus truei,coastal tailed frog,8439,Amphibia,Anura,Ascaphidae,Ascaphus,aAscTru1.hap1,Chromosome,reference genome,424004025,981472,3722616900,3549,9569,45,29.42,41455,22575,2024-06-17,GCF_040206685.1-RS_2025_07
GCF_027579735.1,Bombina bombina,fire-bellied toad,8345,Amphibia,Anura,Bombinatoridae,Bombina,aBomBom1.pri,Chromosome,reference genome,1241340601,3759931,10019663791,2467,9446,39,92.75,31613,22468,2023-01-09,GCF_027579735.1-RS_2023_03
GCF_905171765.1,Bufo bufo,common toad,8384,Amphibia,Anura,Bufonidae,Bufo,aBufBuf1.1,Chromosome,reference genome,635713434,3959750,5044744194,1306,5501,44.5,64,32600,21517,2021-01-28,NCBI Bufo bufo Annotation Release 100
GCF_014858855.1,Bufo gargarizans,Asiatic toad,30331,Amphibia,Anura,Bufonidae,Bufo,ASM1485885v1,Chromosome,reference genome,539822115,1738317,4545465442,747,4620,44.5,103,27589,22033,2020-10-21,NCBI Bufo gargarizans Annotation Release 100
GCF_051348905.1,Ranitomeya variabilis,Zimmermann's poison frog,490064,Amphibia,Anura,Dendrobatidae,Ranitomeya,aRanVar5.hap1,Chromosome,reference genome,788740125,68175871,5645589471,286,495,45,49,59733,24270,2025-07-15,GCF_051348905.1-RS_2025_09
GCF_032444005.1,Ranitomeya imitator,mimic poison frog,111125,Amphibia,Anura,Dendrobatidae,Ranitomeya,aRanImi1.pri,Chromosome,reference genome,725832262,13907627,5956610564,1672,2437,45,52.17,44421,23747,2023-10-16,GCF_032444005.1-RS_2024_10
GCF_035609145.1,Eleutherodactylus coqui,Puerto Rican coqui,57060,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,aEleCoq1.hap1,Chromosome,reference genome,277440397,10388966,3371297528,956,1615,45,39,61928,21776,2024-01-12,GCF_035609145.1-RS_2024_07
GCF_029499605.1,Hyla sarda,,327740,Amphibia,Anura,Hylidae,Hyla,aHylSar1.hap1,Chromosome,reference genome,384967061,3809262,4142159359,3474,5771,44,30,102483,22847,2023-04-07,GCF_029499605.1-RS_2023_05
GCF_027789765.1,Dendropsophus ebraccatus,hourglass treefrog,150705,Amphibia,Anura,Hylidae,Dendropsophus,aDenEbr1.pat,Chromosome,reference genome,153439414,8808153,2214937069,2200,3003,44,69.99,37424,22271,2023-01-13,GCF_027789765.1-RS_2024_11
GCF_040937935.1,Hyperolius riggenbachi,Riggenbach's reed frog,752182,Amphibia,Anura,Hyperoliidae,Hyperolius,aHypRig1.pri,Chromosome,reference genome,451034413,2674826,4915935452,477,3516,45,43.06,68148,24147,2024-07-30,GCF_040937935.1-RS_2024_08
GCF_031893055.1,Leptodactylus fuscus,rufous frog,238119,Amphibia,Anura,Leptodactylidae,Leptodactylus,aLepFus1.hap2,Chromosome,reference genome,226021100,5334240,2197979350,1265,2241,43,33.11,36647,20214,2023-09-26,GCF_031893055.1-RS_2025_07
GCF_040894005.1,Engystomops pustulosus,Tungara frog,76066,Amphibia,Anura,Leptodactylidae,Engystomops,aEngPut4.maternal,Chromosome,reference genome,214838416,21805561,2158203323,936,1372,43,38.6,71488,21963,2024-07-30,GCF_040894005.1-RS_2025_03
GCF_038048845.1,Mixophyes fleayi,Fleay's barred frog,3061075,Amphibia,Anura,Limnodynastidae,Mixophyes,aMixFle1.hap1,Chromosome,reference genome,346624570,4050021,2969628263,2806,4227,40.5,25,67235,21250,2024-04-17,GCF_038048845.1-RS_2025_07
GCF_028390025.1,Pseudophryne corroboree,corroboree frog,495146,Amphibia,Anura,Myobatrachidae,Pseudophryne,aPseCor3.hap2,Chromosome,reference genome,846894890,6819095,8872758793,3127,5826,45.5,26.91,186827,24591,2023-02-06,GCF_028390025.1-RS_2024_02
GCF_036172605.1,Pelobates fuscus,common spadefoot toad,191477,Amphibia,Anura,Pelobatidae,Pelobates,aPelFus1.pri,Chromosome,reference genome,387735018,29412599,3606456729,159,508,42,25,49915,20977,2024-01-26,GCF_036172605.1-RS_2024_02
GCF_027358695.1,Spea bombifrons,plains spadefoot toad,233779,Amphibia,Anura,Pelobatidae,Spea,aSpeBom1.2.pri,Chromosome,reference genome,114150385,21170366,987655159,17,119,40.5,35.45,42958,19086,2022-12-27,GCF_027358695.1-RS_2023_03
GCF_017654675.1,Xenopus laevis,African clawed frog,8355,Amphibia,Anura,Pipidae,Xenopus,Xenopus_laevis_v10.1,Chromosome,reference genome,155250555,22451507,2742451793,54,715,39.5,28.5,44456,34476,2021-04-12,NCBI Xenopus laevis Annotation Release 101
GCF_000004195.4,Xenopus tropicalis,tropical clawed frog,8364,Amphibia,Anura,Pipidae,Xenopus,UCB_Xtro_10.0,Chromosome,reference genome,153961319,14634335,1451283599,166,850,40.5,111.5,28858,21826,2019-11-14,NCBI Xenopus tropicalis Annotation Release 104
GCF_001663975.1,Xenopus laevis,African clawed frog,8355,Amphibia,Anura,Pipidae,Xenopus,Xenopus_laevis_v2,Chromosome,,136570856,19713,2718416252,108032,324060,0,30,37031,31332,2016-08-09,NCBI Xenopus laevis Annotation Release 100
GCF_032062135.1,Pyxicephalus adspersus,,30357,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,UCB_Pads_2.0,Chromosome,reference genome,147930044,79604,1440301248,8089,46518,38.5,189,24071,19416,2023-09-27,GCF_032062135.1-RS_2025_03
GCF_042186555.1,Aquarana catesbeiana,American bullfrog,8400,Amphibia,Anura,Ranidae,Aquarana,ASM4218655v1,Chromosome,reference genome,691824178,3396515,6377618952,262,5032,43.5,35.42,47255,24438,2024-09-24,GCF_042186555.1-RS_2025_04
GCF_905171775.1,Rana temporaria,common frog,8407,Amphibia,Anura,Ranidae,Rana,aRanTem1.1,Chromosome,reference genome,481763206,6264810,4111422596,554,2411,44,63,38300,23707,2021-01-28,NCBI Rana temporaria Annotation Release 100
GCF_050947455.1,Rhinoderma darwinii,,43563,Amphibia,Anura,Rhinodermatidae,Rhinoderma,aRhiDar2.hap1,Chromosome,reference genome,410882874,8675653,3657511227,2942,4548,43,31.3,115156,20964,2025-06-17,GCF_050947455.1-RS_2025_07
GCF_040938575.1,Ambystoma mexicanum,axolotl,8296,Amphibia,Caudata,Ambystomatidae,Ambystoma,UKY_AmexF1_1,Chromosome,reference genome,1489131749,23068610,29117848270,220,2315,46.5,48,135668,24121,2024-07-30,GCF_040938575.1-RS_2024_10
GCF_964261635.1,Lissotriton helveticus,palmate newt,256425,Amphibia,Caudata,Salamandridae,Lissotriton,aLisHel1.1,Chromosome,reference genome,2132484007,7795245,23170028842,448,5693,45,27,82488,26911,2024-10-17,GCF_964261635.1-RS_2025_12
GCF_031143425.1,Pleurodeles waltl,Iberian ribbed newt,8319,Amphibia,Caudata,Salamandridae,Pleurodeles,aPleWal1.hap1.20221129,Chromosome,reference genome,1360680797,20474000,19767450834,616,2445,46,40,59059,22339,2024-03-19,GCF_031143425.1-RS_2024_08
GCF_902459505.2,Geotrypetes seraphini,Gabon caecilian,260995,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,aGeoSer1.2,Chromosome,reference genome,272612222,20656571,3779413726,163,596,43,67,24014,19212,2021-04-24,GCF_902459505.2-RS_2026_03
GCF_901001135.2,Rhinatrema bivittatum,two-lined caecilian,194408,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema,aRhiBiv1.2,Chromosome,reference genome,486875112,3216284,5319222779,1329,4900,44.5,43,28102,21544,2021-04-24,GCF_901001135.2-RS_2026_03
GCF_901765095.2,Microcaecilia unicolor,,1415580,Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,aMicUni1.2,Chromosome,reference genome,376147139,3661507,4685923413,1080,3529,44,53,26212,20858,2021-04-24,GCF_901765095.2-RS_2026_02
GCF_036417845.1,Apteryx mantelli,North Island brown kiwi,2696672,Aves,Apterygiformes,Apterygidae,Apteryx,bAptMan1.hap1,Chromosome,reference genome,88095958,19797665,1504396159,408,578,44,48,21410,17430,2024-02-06,GCF_036417845.1-RS_2024_08
GCF_036370855.1,Dromaius novaehollandiae,emu,8790,Aves,Casuariiformes,Dromaiidae,Dromaius,bDroNov1.hap1,Chromosome,reference genome,77929039,24239989,1468706110,271,400,44,52,24513,17857,2024-02-26,GCF_036370855.1-RS_2024_04
GCF_028389875.1,Rhea pennata,,8795,Aves,Rheiformes,Rheidae,Rhea,bPtePen1.pri,Chromosome,reference genome,82467789,19335416,1269000025,179,307,42.5,32.9,19550,16410,2023-02-06,GCF_028389875.1-RS_2023_12
GCF_040807025.1,Struthio camelus,African ostrich,8801,Aves,Struthioniformes,Struthionidae,Struthio,bStrCam1.hap1,Chromosome,reference genome,84633522,28829471,1452018929,262,378,44.5,80.9,23381,17572,2024-07-22,GCF_040807025.1-RS_2024_10
GCF_048418815.1,Hemitrygon akajei,red stingray,2704970,Chondrichthyes,Myliobatiformes,Dasyatidae,Hemitrygon,sHemAka1.3,Chromosome,reference genome,175234968,8940806,4229631903,260,2325,43,40,28659,21646,2025-03-05,GCF_048418815.1-RS_2025_04
GCF_030144855.1,Hypanus sabinus,Atlantic stingray,79690,Chondrichthyes,Myliobatiformes,Dasyatidae,Hypanus,sHypSab1.hap1,Chromosome,reference genome,112262883,4266932,4044869043,2989,4637,43.5,34.2,30308,22522,2023-06-05,GCF_030144855.1-RS_2023_09
GCF_963921235.1,Mobula hypostoma,lesser devil ray,723540,Chondrichthyes,Myliobatiformes,Myliobatidae,Mobula,sMobHyp1.1,Chromosome,reference genome,152437164,23327000,3475679493,200,897,43,100,23970,18916,2024-01-06,GCF_963921235.1-RS_2024_02
GCF_030028105.1,Mobula birostris,giant manta,1983395,Chondrichthyes,Myliobatiformes,Myliobatidae,Mobula,sMobBir1.hap1,Chromosome,reference genome,148671352,7300797,4014635230,4715,6525,43.5,32,27860,20172,2023-05-22,GCF_030028105.1-RS_2025_03
GCF_053455715.1,Rhinoraja longicauda,white-bellied softnose skate,667116,Chondrichthyes,Rajiformes,Arhynchobatidae,Rhinoraja,sRhiLon1.1,Chromosome,reference genome,53501714,1663054,2198843048,3942,9278,45,47,22996,18472,2025-11-13,GCF_053455715.1-RS_2025_12
GCF_963514005.1,Raja brachyura,blonde ray,223862,Chondrichthyes,Rajiformes,Rajidae,Raja,sRajBra1.1,Chromosome,reference genome,68366687,2048057,2700450552,1646,3915,45,33,23715,18971,2023-09-28,GCF_963514005.1-RS_2026_02
GCF_010909765.2,Amblyraja radiata,thorny skate,386614,Chondrichthyes,Rajiformes,Rajidae,Amblyraja,sAmbRad1.1.pri,Chromosome,reference genome,62052929,1462921,2558784953,957,4672,44.5,128.24,25978,18474,2020-02-21,NCBI Amblyraja radiata Updated Annotation Release 100.20210331
GCF_028641065.1,Leucoraja erinaceus,little skate,7782,Chondrichthyes,Rajiformes,Rajidae,Leucoraja,Leri_hhj_1,Chromosome,reference genome,57189699,5310386,2190844947,1768,2599,44,150,23250,18970,2023-02-22,GCF_028641065.1-RS_2023_04
GCF_009764475.1,Pristis pectinata,smalltooth sawfish,685728,Chondrichthyes,Rhinopristiformes,Pristidae,Pristis,sPriPec2.1.pri,Chromosome,reference genome,101699621,17009522,2267840987,172,870,42.5,61.91,21162,17434,2019-12-19,GCF_009764475.1-RS_2023_02
GCF_036971445.1,Narcine bancroftii,Caribbean electric ray,1343680,Chondrichthyes,Torpediniformes,Narcinidae,Narcine,sNarBan1.hap1,Chromosome,reference genome,257710454,5195315,3328432768,595,2038,43.5,50,30148,18559,2024-03-06,GCF_036971445.1-RS_2024_11
GCF_900747795.2,Erpetoichthys calabaricus,reedfish,27687,Cladistia,Polypteriformes,Polypteridae,Erpetoichthys,fErpCal1.3,Chromosome,reference genome,217689105,6772339,3613534470,168,1599,39.5,58,27285,22075,2021-07-07,GCF_900747795.2-RS_2023_02
GCF_016835505.1,Polypterus senegalus,gray bichir,55291,Cladistia,Polypteriformes,Polypteridae,Polypterus,ASM1683550v1,Chromosome,reference genome,189689183,4528139,3673863536,9855,13021,39.5,64,29359,21953,2021-02-09,NCBI Polypterus senegalus Annotation Release 100
GCF_047335585.1,Pogona vitticeps,central bearded dragon,103695,Lepidosauria,Squamata,Agamidae,Pogona,Pvi2.1,Chromosome,,274873533,202516942,1793327715,16,42,42,62,26449,19105,2025-01-31,GCF_047335585.1-RS_2025_03
GCF_051106095.1,Pogona vitticeps,central bearded dragon,103695,Lepidosauria,Squamata,Agamidae,Pogona,PviZW2.1,Chromosome,reference genome,266210064,134074000,1752814424,89,115,42,100,30160,19760,2025-06-26,GCF_051106095.1-RS_2025_12
GCF_023053635.1,Elgaria multicarinata webbii,,159646,Lepidosauria,Squamata,Anguidae,Elgaria,rElgMul1.1.pri,Chromosome,reference genome,121985326,85762895,1790500004,34,107,43.5,36,21748,19563,2024-01-04,GCF_023053635.1-RS_2024_02
GCF_035149785.1,Candoia aspera,,51853,Lepidosauria,Squamata,Boidae,Candoia,rCanAsp1.hap2,Chromosome,reference genome,209480725,55640180,1530810380,149,250,41,37,20506,18397,2024-01-18,GCF_035149785.1-RS_2024_02
GCF_028640845.1,Ahaetulla prasina,,499056,Lepidosauria,Squamata,Colubridae,Ahaetulla,ASM2864084v1,Chromosome,reference genome,231952326,23873608,1772420080,748,1079,41,140,21369,18292,2023-02-22,GCF_028640845.1-RS_2023_07
GCF_009769535.1,Thamnophis elegans,Western terrestrial garter snake,35005,Lepidosauria,Squamata,Colubridae,Thamnophis,rThaEle1.pri,Chromosome,reference genome,100851885,4620601,1672190305,365,1883,41,62.12,21688,18900,2019-12-23,NCBI Thamnophis elegans Annotation Release 100
GCF_027244095.1,Hemicordylus capensis,graceful crag lizard,884348,Lepidosauria,Squamata,Cordylidae,Hemicordylus,rHemCap1.1.pri,Chromosome,reference genome,359646233,160691000,2294751221,44,86,45,43,31139,21239,2022-12-28,GCF_027244095.1-RS_2023_02
GCF_035594765.1,Anolis carolinensis,green anole,28377,Lepidosauria,Squamata,Dactyloidae,Anolis,rAnoCar3.1.pri,Chromosome,reference genome,288964324,26091274,1850740401,211,1052,40.5,35,27148,20447,2024-01-12,GCF_035594765.1-RS_2024_02
GCF_037176765.1,Anolis sagrei,brown anole,38937,Lepidosauria,Squamata,Dactyloidae,Anolis,rAnoSag1.mat,Chromosome,reference genome,249210491,43146625,1950830970,29,220,41.5,34.9,23363,20130,2024-03-15,GCF_037176765.1-RS_2024_08
GCF_031021105.1,Erythrolamprus reginae,royal ground snake,121349,Lepidosauria,Squamata,Dipsadidae,Erythrolamprus,rEryReg1.hap1,Chromosome,reference genome,259117534,3064756,1964049041,400,1791,41.5,34.47,23144,19996,2023-08-31,GCF_031021105.1-RS_2024_12
GCF_028583425.1,Eublepharis macularius,,481883,Lepidosauria,Squamata,Eublepharidae,Eublepharis,MPM_Emac_v1.0,Chromosome,reference genome,145573841,80105973,2237379946,75,136,44,30,24025,20469,2023-02-10,GCF_028583425.1-RS_2023_03
GCF_032191835.1,Heteronotia binoei,common prickly gecko,13085,Lepidosauria,Squamata,Gekkonidae,Heteronotia,APGP_CSIRO_Hbin_v1,Chromosome,reference genome,150619664,14376057,2633446684,660,2268,45,21,25370,20682,2023-09-29,GCF_032191835.1-RS_2023_10
GCF_049243985.1,Paroedura picta,,143630,Lepidosauria,Squamata,Gekkonidae,Paroedura,Ppicta_v3.0,Chromosome,reference genome,129360563,52451795,1751518920,80,2698,44.5,27.9,26378,20165,2025-04-02,GCF_049243985.1-RS_2025_09
GCF_963506605.1,Zootoca vivipara,common lizard,8524,Lepidosauria,Squamata,Lacertidae,Zootoca,rZooViv1.1,Chromosome,reference genome,96056580,3447840,1440239386,48,731,44,34,22823,20197,2023-09-20,GCF_963506605.1-RS_2023_10
GCF_951804945.1,Podarcis cretensis,,1330250,Lepidosauria,Squamata,Lacertidae,Podarcis,rPodCre2.1,Chromosome,reference genome,94621998,65743000,1507609967,50,97,44,27,28139,20094,2023-06-02,GCF_951804945.1-RS_2025_12
GCF_027172205.1,Podarcis raffonei,Aeolian wall lizard,65483,Lepidosauria,Squamata,Lacertidae,Podarcis,rPodRaf1.pri,Chromosome,reference genome,93623253,61439401,1513131503,27,57,44,31.05,26204,20895,2022-12-27,GCF_027172205.1-RS_2023_02
GCF_011800845.1,Zootoca vivipara,common lizard,8524,Lepidosauria,Squamata,Lacertidae,Zootoca,UG_Zviv_1,Chromosome,,92810032,219893,1464283545,25251,43101,44,70,22831,20278,2020-04-01,NCBI Zootoca vivipara Annotation Release 100
GCF_004329235.1,Podarcis muralis,Common wall lizard,64176,Lepidosauria,Squamata,Lacertidae,Podarcis,PodMur_1.0,Chromosome,,92398148,714612,1511002858,2160,6245,44,100,26732,21258,2019-03-07,NCBI Podarcis muralis Annotation Release 100
GCF_964188315.1,Podarcis muralis,Common wall lizard,64176,Lepidosauria,Squamata,Lacertidae,Podarcis,rPodMur119.hap1.1,Chromosome,reference genome,91987695,3229453,1522624192,184,1011,44,46,26443,20953,2024-06-21,GCF_964188315.1-RS_2025_12
GCF_009819535.1,Lacerta agilis,Sand lizard,80427,Lepidosauria,Squamata,Lacertidae,Lacerta,rLacAgi1.pri,Chromosome,reference genome,86565987,6613248,1391387079,28,407,43.5,63.42,23190,20325,2019-12-31,NCBI Lacerta agilis Annotation Release 100
GCF_019175285.1,Sceloporus undulatus,fence lizard,8520,Lepidosauria,Squamata,Phrynosomatidae,Sceloporus,SceUnd_v1.1,Chromosome,reference genome,275632209,75501,1905484175,45012,93150,41.5,4859,23443,19905,2021-07-08,NCBI Sceloporus undulatus Annotation Release 100
GCF_030035675.1,Rhineura floridana,,261503,Lepidosauria,Squamata,Rhineuridae,Rhineura,rRhiFlo1.hap2,Chromosome,reference genome,188683971,18156940,2307419594,76,318,43,38.35,27857,20552,2023-05-22,GCF_030035675.1-RS_2023_12
GCF_035046505.1,Tiliqua scincoides,,71010,Lepidosauria,Squamata,Scincidae,Tiliqua,rTilSci1.hap2,Chromosome,reference genome,242160784,33113817,1623332312,350,722,44.5,35,30291,18882,2024-01-04,GCF_035046505.1-RS_2024_07
GCF_021028975.2,Sphaerodactylus townsendi,,933632,Lepidosauria,Squamata,Sphaerodactylidae,Sphaerodactylus,MPM_Stown_v2.3,Chromosome,reference genome,133801376,9459502,1810846735,1742,4230,46,160,21793,18976,2022-04-08,NCBI Sphaerodactylus townsendi Annotation Release 100
GCF_029931775.1,Euleptes europaea,tarantolino,460621,Lepidosauria,Squamata,Sphaerodactylidae,Euleptes,rEulEur1.hap1,Chromosome,reference genome,102317683,26991305,1781916107,591,744,44.5,38,21512,18633,2023-05-15,GCF_029931775.1-RS_2023_06
GCF_050624435.1,Tenrec ecaudatus,tailess tenrec,94439,Mammalia,Afrosoricida,Tenrecidae,Tenrec,mTenEca1.hap1,Chromosome,reference genome,163958880,41601014,3922859826,2180,2355,45,52.25,40713,21285,2025-05-30,GCF_050624435.1-RS_2025_07
GCF_028564815.1,Eubalaena glacialis,North Atlantic right whale,27606,Mammalia,Artiodactyla,Balaenidae,Eubalaena,mEubGla1.1.hap2.+ XY,Chromosome,reference genome,129620717,37467374,2843675187,788,1155,41.5,32,30922,20149,2023-02-09,GCF_028564815.1-RS_2023_12
GCF_028023285.1,Balaenoptera ricei,Rice's whale,2746895,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,mBalRic1.hap2,Chromosome,reference genome,122071569,36541936,2678442663,774,1108,41.5,30,30387,19788,2023-01-30,GCF_028023285.1-RS_2023_09
GCF_949987535.1,Balaenoptera acutorostrata,minke whale,9767,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,mBalAcu1.1,Chromosome,reference genome,116513105,3015723,2772885358,1374,2551,41.5,30,29837,20286,2023-05-01,GCF_949987535.1-RS_2023_06
GCF_009873245.2,Balaenoptera musculus,blue whale,9771,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,mBalMus1.pri.v3,Chromosome,reference genome,110314666,6315640,2374852541,105,972,41,51.16,27194,19686,2020-10-02,NCBI Balaenoptera musculus Annotation Release 100
GCF_029407905.1,Bubalus kerabau,carabao,3119969,Mammalia,Artiodactyla,Bovidae,Bubalus,PCC_UOA_SB_1v2,Chromosome,reference genome,121846921,91172394,2898492518,115,136,43,34,40636,21871,2023-03-31,GCF_029407905.1-RS_2024_02
GCF_019923925.1,Bubalus bubalis,water buffalo,89462,Mammalia,Artiodactyla,Bovidae,Bubalus,NDDB_DH_1,Chromosome,,117225556,5359742,2612882031,33,1241,42,572,37199,21379,2021-09-10,NCBI Bubalus bubalis Annotation Release 102
GCF_003121395.1,Bubalus bubalis,water buffalo,89462,Mammalia,Artiodactyla,Bovidae,Bubalus,UOA_WB_1,Chromosome,,117219835,22441509,2655764417,508,918,42,69,34037,20801,2018-05-14,NCBI Bubalus bubalis Annotation Release 101
GCF_019923935.1,Bubalus bubalis,water buffalo,89462,Mammalia,Artiodactyla,Bovidae,Bubalus,NDDB_SH_1,Chromosome,reference genome,116997125,9586610,2622444281,25,684,41.5,572,37167,21359,2021-09-10,NCBI Bubalus bubalis Annotation Release 103
GCF_032405125.1,Capricornis sumatraensis,Sumatran serow,34865,Mammalia,Artiodactyla,Bovidae,Capricornis,serow.2,Chromosome,reference genome,112748084,100934918,2828266837,158,164,43,37,28923,20155,2024-03-13,GCF_032405125.1-RS_2024_10
