accession,organism_name,common_name,order,family,genus,scaffold_n50,contig_n50,max_lifespan,body_mass,LQ,protein_coding_count,submission_date
GCF_009873245.2,Balaenoptera musculus,blue whale,Artiodactyla,Balaenopteridae,Balaenoptera,110314666,6315640,110.0,136000000.0,0.08405101283528249,19686,2020-10-02
GCF_029407905.1,Bubalus kerabau,carabao,Artiodactyla,Bovidae,Bubalus,121846921,91172394,,,,21871,2023-03-31
GCF_019923925.1,Bubalus bubalis,water buffalo,Artiodactyla,Bovidae,Bubalus,117225556,5359742,34.9,725000.0,-0.05597159459938328,21379,2021-09-10
GCF_003121395.1,Bubalus bubalis,water buffalo,Artiodactyla,Bovidae,Bubalus,117219835,22441509,34.9,725000.0,-0.05597159459938328,20801,2018-05-14
GCF_019923935.1,Bubalus bubalis,water buffalo,Artiodactyla,Bovidae,Bubalus,116997125,9586610,34.9,725000.0,-0.05597159459938328,21359,2021-09-10
GCF_032405125.1,Capricornis sumatraensis,Sumatran serow,Artiodactyla,Bovidae,Capricornis,112748084,100934918,18.5,95000.0,-0.19241336867635095,20155,2024-03-13
GCF_023091745.1,Budorcas taxicolor,takin,Artiodactyla,Bovidae,Budorcas,109747698,68053581,21.9,180000.0,-0.1629178755508971,20434,2022-04-22
GCF_002742125.1,Ovis aries,sheep,Artiodactyla,Bovidae,Ovis,107697089,2572683,22.8,80000.0,-0.08987853004027935,21160,2017-11-02
GCF_000247795.1,Bos indicus,zebu cattle,Artiodactyla,Bovidae,Bos,106310653,28375,,,,19786,2014-11-25
GCF_042477335.2,Ovis canadensis,bighorn sheep,Artiodactyla,Bovidae,Ovis,105224494,105224494,20.6,70275.0,-0.1250678532122389,20615,2024-10-18
GCF_029378745.1,Bos indicus,zebu cattle,Artiodactyla,Bovidae,Bos,104596815,42080189,,,,20976,2023-03-24
GCF_003369695.1,Bos indicus x Bos taurus,hybrid cattle,Artiodactyla,Bovidae,Bos,104466507,26764281,,,,20846,2018-11-30
GCF_027580195.1,Bos mutus,wild yak,Artiodactyla,Bovidae,Bos,103902138,38284421,,,,20029,2023-01-09
GCF_002263795.3,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,103308737,26402946,20.0,750000.0,-0.30008927773370253,21667,2023-07-01
GCF_016772045.2,Ovis aries,sheep,Artiodactyla,Bovidae,Ovis,101274418,43178051,22.8,80000.0,-0.08987853004027935,21300,2023-07-20
GCF_000298735.2,Ovis aries,sheep,Artiodactyla,Bovidae,Ovis,100009711,150472,22.8,80000.0,-0.08987853004027935,20545,2015-11-20
GCF_032452875.1,Bos javanicus,banteng,Artiodactyla,Bovidae,Bos,87549292,47146240,27.1,700000.0,-0.16342397988394364,21582,2023-10-11
GCF_001704415.2,Capra hircus,goat,Artiodactyla,Bovidae,Capra,87277232,26244591,20.8,61000.0,-0.11117611289615903,20572,2016-08-24
GCF_048773025.1,Camelus bactrianus,Bactrian camel,Artiodactyla,Camelidae,Camelus,79915242,54723239,35.4,475000.0,-0.02082812076509355,19886,2025-03-21
GCF_009834535.1,Camelus ferus,Wild Bactrian camel,Artiodactyla,Camelidae,Camelus,76025729,5365398,,,,20222,2020-01-08
GCF_048564905.1,Vicugna pacos,alpaca,Artiodactyla,Camelidae,Vicugna,75404351,40278543,25.8,62000.0,-0.01873358544069359,21233,2025-03-12
GCF_036321535.1,Camelus dromedarius,Arabian camel,Artiodactyla,Camelidae,Camelus,72991593,31216184,28.4,434000.0,-0.11032954110420956,19771,2024-01-31
GCF_000803125.2,Camelus dromedarius,Arabian camel,Artiodactyla,Camelidae,Camelus,70369702,236391,28.4,434000.0,-0.11032954110420956,20062,2019-10-07
GCF_963930625.1,Muntiacus reevesi,Reeves' muntjac,Artiodactyla,Cervidae,Muntiacus,114544513,5780196,23.2,18000.0,0.019852771082012888,21410,2024-01-31
GCF_910594005.1,Cervus elaphus,red deer,Artiodactyla,Cervidae,Cervus,83473711,68741660,31.5,200000.0,-0.012268618092037498,22941,2021-07-07
GCF_019320065.1,Cervus canadensis,elk,Artiodactyla,Cervidae,Cervus,77654944,914577,,,,22348,2021-07-26
GCF_033118175.1,Dama dama,fallow deer,Artiodactyla,Cervidae,Dama,77069784,68791581,21.1,70000.0,-0.11438403887852822,22157,2023-11-02
GCF_023699985.2,Odocoileus virginianus,white-tailed deer,Artiodactyla,Cervidae,Odocoileus,66396233,21769372,23.0,87000.0,-0.0918314116636898,20237,2024-10-17
GCF_937001465.1,Orcinus orca,killer whale,Artiodactyla,Delphinidae,Orcinus,114219206,45583382,90.0,3987500.0,0.23867046736515962,19396,2022-05-03
GCF_949774975.1,Lagenorhynchus albirostris,white-beaked dolphin,Artiodactyla,Delphinidae,Lagenorhynchus,110721866,3398034,,,,19117,2023-04-08
GCF_039906515.1,Pseudorca crassidens,false killer whale,Artiodactyla,Delphinidae,Pseudorca,110095734,58817648,62.5,748000.0,0.1949436542519163,18472,2024-05-31
GCF_011762595.2,Tursiops truncatus,common bottlenose dolphin,Artiodactyla,Delphinidae,Tursiops,108430135,9729386,51.6,200000.0,0.20207052974557338,18550,2024-12-12
GCF_949987515.2,Delphinus delphis,saddleback dolphin,Artiodactyla,Delphinidae,Delphinus,107080983,3627551,,,,18393,2024-09-07
GCF_951394435.1,Stenella coeruleoalba,striped dolphin,Artiodactyla,Delphinidae,Stenella,105253534,3590204,57.5,112500.0,0.28850104119893416,19169,2023-06-16
GCF_963455315.2,Globicephala melas,long-finned pilot whale,Artiodactyla,Delphinidae,Globicephala,105087932,3290841,60.0,1060000.0,0.1533343802336551,18508,2024-09-07
GCF_028021215.1,Eschrichtius robustus,grey whale,Artiodactyla,Eschrichtiidae,Eschrichtius,126538682,39209000,77.0,28500000.0,0.03619727738310696,18965,2023-01-31
GCF_030028045.1,Hippopotamus amphibius kiboko,,Artiodactyla,Hippopotamidae,Hippopotamus,149218186,50348260,,,,22139,2023-05-18
GCF_008692025.1,Phocoena sinus,vaquita,Artiodactyla,Phocoenidae,Phocoena,115469292,20218762,,,,19069,2019-09-26
GCF_963924675.1,Phocoena phocoena,harbor porpoise,Artiodactyla,Phocoenidae,Phocoena,110192646,3726689,20.4,52500.0,-0.1093301425548514,18252,2024-01-29
GCF_026419965.1,Kogia breviceps,pygmy sperm whale,Artiodactyla,Physeteridae,Kogia,122394096,42780423,17.0,424600.0,-0.33169901918671263,18349,2022-11-27
GCF_002837175.3,Physeter macrocephalus,sperm whale,Artiodactyla,Physeteridae,Physeter,122182240,42877,77.0,28500000.0,0.03619727738310696,20412,2023-02-28
GCF_016906955.1,Phacochoerus africanus,Common warthog,Artiodactyla,Suidae,Phacochoerus,141887063,10602503,20.9,100000.0,-0.14295239489997202,20276,2021-02-19
GCF_000003025.6,Sus scrofa,pig,Artiodactyla,Suidae,Sus,88231837,48231277,27.0,130000.0,-0.04970683452435787,20666,2017-02-07
GCF_025265405.1,Mesoplodon densirostris,Blainville's beaked whale,Artiodactyla,Ziphiidae,Mesoplodon,125805690,48253041,,,,19759,2022-09-19
GCF_949752795.1,Hyperoodon ampullatus,northern bottlenose whale,Artiodactyla,Ziphiidae,Hyperoodon,117448692,3126546,37.0,6500000.0,-0.1808419369099954,19045,2023-03-31
GCF_048418805.1,Vulpes vulpes,red fox,Carnivora,Canidae,Vulpes,139969695,55675583,21.3,4131.7,0.08355446913821374,19905,2025-03-05
GCF_018345385.1,Vulpes lagopus,Arctic fox,Carnivora,Canidae,Vulpes,131537142,33460300,16.3,5200.0,-0.048390422856353865,20695,2021-05-12
GCF_053574225.1,Canis aureus,golden jackal,Carnivora,Canidae,Canis,68033816,56644425,18.8,11000.0,-0.03774278996930325,20620,2025-11-21
GCF_048164855.1,Canis lupus baileyi,Mexican gray wolf,Carnivora,Canidae,Canis,65569260,31962680,,,,20020,2025-02-27
GCF_011100685.1,Canis lupus familiaris,dog,Carnivora,Canidae,Canis,64299765,14840767,,,,21175,2020-03-10
GCF_003254725.2,Canis lupus dingo,dingo,Carnivora,Canidae,Canis,64250934,40716615,,,,20775,2020-09-11
GCF_005444595.1,Canis lupus familiaris,dog,Carnivora,Canidae,Canis,64204256,4722218,,,,20593,2019-05-30
GCF_014441545.1,Canis lupus familiaris,dog,Carnivora,Canidae,Canis,64037277,12024593,,,,20949,2020-09-03
GCF_000002285.5,Canis lupus familiaris,dog,Carnivora,Canidae,Canis,63738581,27487084,,,,20087,2020-10-06
GCF_018350155.1,Leopardus geoffroyi,Geoffroy's cat,Carnivora,Felidae,Leopardus,152606360,104474415,23.0,4000.0,0.11912172642960006,20127,2021-05-13
GCF_028018385.1,Neofelis nebulosa,Clouded leopard,Carnivora,Felidae,Neofelis,150204169,51579577,19.8,19500.0,-0.05445293851482669,20501,2023-01-31
GCF_016509475.1,Prionailurus bengalensis,leopard cat,Carnivora,Felidae,Prionailurus,148587958,82622880,17.0,5000.0,-0.0274424921800116,20003,2021-01-06
GCF_018350175.1,Felis catus,domestic cat,Carnivora,Felidae,Felis,148491486,90731473,30.0,3900.0,0.23624941165482127,20453,2021-05-13
GCF_046562885.1,Panthera onca,jaguar,Carnivora,Felidae,Panthera,148304554,45599555,28.0,81150.0,-0.0016330209859110045,19237,2025-01-08
GCF_018350215.1,Panthera leo,lion,Carnivora,Felidae,Panthera,147402474,77781637,27.0,175000.0,-0.0700685248581383,19491,2021-05-13
GCF_007474595.2,Lynx canadensis,Canada lynx,Carnivora,Felidae,Lynx,147275701,7503561,26.8,10100.0,0.12208129324274863,19742,2020-07-14
GCF_018350195.1,Panthera tigris,tiger,Carnivora,Felidae,Panthera,146942463,74391967,26.3,119700.0,-0.055460471134791245,20232,2021-05-13
GCF_022837055.1,Prionailurus viverrinus,fishing cat,Carnivora,Felidae,Prionailurus,144906162,68766634,17.2,10650.0,-0.07415722299644645,20111,2022-04-08
GCF_027475565.1,Acinonyx jubatus,cheetah,Carnivora,Felidae,Acinonyx,144444042,96827784,20.5,53500.0,-0.10849893762275387,19999,2022-12-28
GCF_028533385.1,Panthera onca,jaguar,Carnivora,Felidae,Panthera,138099990,53866,28.0,81150.0,-0.0016330209859110045,21071,2023-02-09
GCF_023721935.1,Panthera uncia,snow leopard,Carnivora,Felidae,Panthera,112063229,179517,,,,20201,2022-06-16
GCF_006229205.1,Suricata suricatta,meerkat,Carnivora,Herpestidae,Suricata,141453419,75409,20.6,776.0,0.1835938482066346,19608,2019-07-03
GCF_020171115.1,Neogale vison,American mink,Carnivora,Mustelidae,Neogale,220349319,220349319,,,,20422,2021-09-29
GCF_030435805.1,Mustela lutreola,European mink,Carnivora,Mustelidae,Mustela,154078643,83356672,8.4,590.0,-0.18722306822092338,20701,2023-07-13
GCF_902655055.1,Lutra lutra,Eurasian river otter,Carnivora,Mustelidae,Lutra,149004807,30403456,18.2,6750.0,-0.0183771507577295,20887,2020-07-31
GCF_022355385.1,Mustela nigripes,black-footed ferret,Carnivora,Mustelidae,Mustela,145433501,148763,9.4,1021.0,-0.1759408754527002,20269,2022-02-24
GCF_922984935.1,Meles meles,Eurasian badger,Carnivora,Mustelidae,Meles,132955750,75210923,18.6,13000.0,-0.05383087788330032,21063,2021-12-19
GCF_009829155.1,Mustela erminea,ermine,Carnivora,Mustelidae,Mustela,130149454,36329944,12.5,110.3,0.10027636340489265,20934,2020-01-03
GCF_009762305.2,Zalophus californianus,California sea lion,Carnivora,Otariidae,Zalophus,147124152,32626160,35.7,180000.0,0.04930622572117782,21397,2020-07-14
GCF_964656455.1,Halichoerus grypus,gray seal,Carnivora,Phocidae,Halichoerus,156124300,3750431,42.9,268000.0,0.1018302901688839,19199,2025-01-02
GCF_002201575.2,Neomonachus schauinslandi,Hawaiian monk seal,Carnivora,Phocidae,Neomonachus,150810825,181061,,,,19838,2021-10-20
GCF_021288785.2,Mirounga angustirostris,Northern elephant seal,Carnivora,Phocidae,Mirounga,139676048,76189,,,,20358,2022-12-21
GCF_002007445.2,Ailuropoda melanoleuca,giant panda,Carnivora,Ursidae,Ailuropoda,129245720,127687,36.8,117500.0,0.09170229072376124,20837,2020-04-20
GCF_023065955.2,Ursus arctos,brown bear,Carnivora,Ursidae,Ursus,71981430,35674000,40.0,277500.0,0.06904686812691185,20319,2023-05-22
GCF_036850765.1,Saccopteryx bilineata,greater sac-winged bat,Chiroptera,Emballonuridae,Saccopteryx,300074216,20156883,6.0,7.9,-0.0378933753987728,19291,2024-02-26
GCF_036850995.1,Saccopteryx leptura,lesser sac-winged bat,Chiroptera,Emballonuridae,Saccopteryx,224759591,17812205,,,,19426,2024-02-26
GCF_004126475.2,Phyllostomus discolor,pale spear-nosed bat,Chiroptera,Phyllostomidae,Phyllostomus,171742863,6892556,9.0,43.4,0.021501734616591883,19754,2020-05-12
GCF_022682495.2,Desmodus rotundus,common vampire bat,Chiroptera,Phyllostomidae,Desmodus,160127860,6739964,29.2,33.2,0.5509938466690814,19269,2022-03-24
GCF_036562045.2,Rhinolophus sinicus,Chinese rufous horseshoe bat,Chiroptera,Rhinolophidae,Rhinolophus,166556632,42906106,,,,18293,2024-06-26
GCF_004115265.2,Rhinolophus ferrumequinum,greater horseshoe bat,Chiroptera,Rhinolophidae,Rhinolophus,88025743,31900497,30.5,22.875,0.5954273963003337,19652,2019-05-16
GCF_027574615.1,Eptesicus fuscus,big brown bat,Chiroptera,Vespertilionidae,Eptesicus,102817582,49033427,19.0,23.0,0.38950786069523347,20078,2023-01-09
GCF_963259705.1,Myotis daubentonii,Daubenton's bat,Chiroptera,Vespertilionidae,Myotis,102234773,3062752,28.0,8.5,0.626098981994496,21049,2023-08-20
GCF_951640355.1,Cnephaeus nilssonii,northern bat,Chiroptera,Vespertilionidae,Cnephaeus,98018206,2474537,,,,19697,2023-05-18
GCF_030445035.2,Dasypus novemcinctus,nine-banded armadillo,Cingulata,Dasypodidae,Dasypus,127081865,13963394,22.3,5500.0,0.08388471468578951,21697,2023-07-13
