accession,organism_name,common_name,order,family,genus,scaffold_n50,contig_n50,max_lifespan,body_mass,LQ,protein_coding_count,submission_date,species_lower,activity,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO
GCF_016161935.1,Mauremys reevesii,Reeves's turtle,Testudines,Geoemydidae,Mauremys,130473029,33352699,,,,22618,2020-12-22,mauremys reevesii,,,,,,,,,,,
GCF_025201925.1,Gopherus flavomarginatus,Mexican gopher tortoise,Testudines,Testudinidae,Gopherus,162938067,6917139,,,,20882,2022-09-15,gopherus flavomarginatus,,,,,,,,,,,
GCF_003597395.2,Chelonoidis abingdonii,Abingdon island giant tortoise,Testudines,Testudinidae,Chelonoidis,148185065,119261,,,,19060,2025-04-29,chelonoidis abingdonii,,,,,,,,,,,
GCF_007399415.2,Gopherus evgoodei,Goodes thornscrub tortoise,Testudines,Testudinidae,Gopherus,147425149,13026736,,,,20174,2019-07-25,gopherus evgoodei,,,,,,,,,,,
GCF_049634645.1,Pelodiscus sinensis,Chinese soft-shelled turtle,Testudines,Trionychidae,Pelodiscus,129579767,107607917,,,,21463,2025-04-15,pelodiscus sinensis,,,,,,,,,,,
GCF_048569485.1,Anomaloglossus baeobatrachus,,Anura,Aromobatidae,Anomaloglossus,707508717,2835192,,,,23328,2025-03-13,anomaloglossus baeobatrachus,,,,,,,,,,,
GCF_040206685.1,Ascaphus truei,coastal tailed frog,Anura,Ascaphidae,Ascaphus,424004025,981472,,,,22575,2024-06-17,ascaphus truei,,,,,,,,,,,
GCF_027579735.1,Bombina bombina,fire-bellied toad,Anura,Bombinatoridae,Bombina,1241340601,3759931,,,,22468,2023-01-09,bombina bombina,,,,,,,,,,,
GCF_905171765.1,Bufo bufo,common toad,Anura,Bufonidae,Bufo,635713434,3959750,,,,21517,2021-01-28,bufo bufo,,,,,,,,,,,
GCF_014858855.1,Bufo gargarizans,Asiatic toad,Anura,Bufonidae,Bufo,539822115,1738317,,,,22033,2020-10-21,bufo gargarizans,,,,,,,,,,,
GCF_051348905.1,Ranitomeya variabilis,Zimmermann's poison frog,Anura,Dendrobatidae,Ranitomeya,788740125,68175871,,,,24270,2025-07-15,ranitomeya variabilis,,,,,,,,,,,
GCF_032444005.1,Ranitomeya imitator,mimic poison frog,Anura,Dendrobatidae,Ranitomeya,725832262,13907627,,,,23747,2023-10-16,ranitomeya imitator,,,,,,,,,,,
GCF_035609145.1,Eleutherodactylus coqui,Puerto Rican coqui,Anura,Eleutherodactylidae,Eleutherodactylus,277440397,10388966,,,,21776,2024-01-12,eleutherodactylus coqui,,,,,,,,,,,
GCF_029499605.1,Hyla sarda,,Anura,Hylidae,Hyla,384967061,3809262,,,,22847,2023-04-07,hyla sarda,,,,,,,,,,,
GCF_027789765.1,Dendropsophus ebraccatus,hourglass treefrog,Anura,Hylidae,Dendropsophus,153439414,8808153,,,,22271,2023-01-13,dendropsophus ebraccatus,,,,,,,,,,,
GCF_040937935.1,Hyperolius riggenbachi,Riggenbach's reed frog,Anura,Hyperoliidae,Hyperolius,451034413,2674826,,,,24147,2024-07-30,hyperolius riggenbachi,,,,,,,,,,,
GCF_031893055.1,Leptodactylus fuscus,rufous frog,Anura,Leptodactylidae,Leptodactylus,226021100,5334240,,,,20214,2023-09-26,leptodactylus fuscus,,,,,,,,,,,
GCF_040894005.1,Engystomops pustulosus,Tungara frog,Anura,Leptodactylidae,Engystomops,214838416,21805561,,,,21963,2024-07-30,engystomops pustulosus,,,,,,,,,,,
GCF_038048845.1,Mixophyes fleayi,Fleay's barred frog,Anura,Limnodynastidae,Mixophyes,346624570,4050021,,,,21250,2024-04-17,mixophyes fleayi,,,,,,,,,,,
GCF_028390025.1,Pseudophryne corroboree,corroboree frog,Anura,Myobatrachidae,Pseudophryne,846894890,6819095,,,,24591,2023-02-06,pseudophryne corroboree,,,,,,,,,,,
GCF_036172605.1,Pelobates fuscus,common spadefoot toad,Anura,Pelobatidae,Pelobates,387735018,29412599,,,,20977,2024-01-26,pelobates fuscus,,,,,,,,,,,
GCF_027358695.1,Spea bombifrons,plains spadefoot toad,Anura,Pelobatidae,Spea,114150385,21170366,,,,19086,2022-12-27,spea bombifrons,,,,,,,,,,,
GCF_017654675.1,Xenopus laevis,African clawed frog,Anura,Pipidae,Xenopus,155250555,22451507,30.3,130.0,0.1430542711787563,34476,2021-04-12,xenopus laevis,,,,,,,,,,,
GCF_000004195.4,Xenopus tropicalis,tropical clawed frog,Anura,Pipidae,Xenopus,153961319,14634335,,,,21826,2019-11-14,xenopus tropicalis,,,,,,,,,,,
GCF_001663975.1,Xenopus laevis,African clawed frog,Anura,Pipidae,Xenopus,136570856,19713,30.3,130.0,0.1430542711787563,31332,2016-08-09,xenopus laevis,,,,,,,,,,,
GCF_032062135.1,Pyxicephalus adspersus,,Anura,Pyxicephalidae,Pyxicephalus,147930044,79604,,,,19416,2023-09-27,pyxicephalus adspersus,,,,,,,,,,,
GCF_042186555.1,Aquarana catesbeiana,American bullfrog,Anura,Ranidae,Aquarana,691824178,3396515,,,,24438,2024-09-24,aquarana catesbeiana,,,,,,,,,,,
GCF_905171775.1,Rana temporaria,common frog,Anura,Ranidae,Rana,481763206,6264810,,,,23707,2021-01-28,rana temporaria,,,,,,,,,,,
GCF_050947455.1,Rhinoderma darwinii,,Anura,Rhinodermatidae,Rhinoderma,410882874,8675653,,,,20964,2025-06-17,rhinoderma darwinii,,,,,,,,,,,
GCF_040938575.1,Ambystoma mexicanum,axolotl,Caudata,Ambystomatidae,Ambystoma,1489131749,23068610,,,,24121,2024-07-30,ambystoma mexicanum,,,,,,,,,,,
GCF_964261635.1,Lissotriton helveticus,palmate newt,Caudata,Salamandridae,Lissotriton,2132484007,7795245,,,,26911,2024-10-17,lissotriton helveticus,,,,,,,,,,,
GCF_031143425.1,Pleurodeles waltl,Iberian ribbed newt,Caudata,Salamandridae,Pleurodeles,1360680797,20474000,,,,22339,2024-03-19,pleurodeles waltl,,,,,,,,,,,
GCF_902459505.2,Geotrypetes seraphini,Gabon caecilian,Gymnophiona,Dermophiidae,Geotrypetes,272612222,20656571,,,,19212,2021-04-24,geotrypetes seraphini,,,,,,,,,,,
GCF_901001135.2,Rhinatrema bivittatum,two-lined caecilian,Gymnophiona,Rhinatrematidae,Rhinatrema,486875112,3216284,,,,21544,2021-04-24,rhinatrema bivittatum,,,,,,,,,,,
GCF_901765095.2,Microcaecilia unicolor,,Gymnophiona,Siphonopidae,Microcaecilia,376147139,3661507,,,,20858,2021-04-24,microcaecilia unicolor,,,,,,,,,,,
GCF_036417845.1,Apteryx mantelli,North Island brown kiwi,Apterygiformes,Apterygidae,Apteryx,88095958,19797665,,,,17430,2024-02-06,apteryx mantelli,,,,,,,,,,,
GCF_036370855.1,Dromaius novaehollandiae,emu,Casuariiformes,Dromaiidae,Dromaius,77929039,24239989,16.6,38925.0,-0.4938924647340943,17857,2024-02-26,dromaius novaehollandiae,,,,,,,,,,,
GCF_028389875.1,Rhea pennata,,Rheiformes,Rheidae,Rhea,82467789,19335416,,,,16410,2023-02-06,rhea pennata,,,,,,,,,,,
GCF_040807025.1,Struthio camelus,African ostrich,Struthioniformes,Struthionidae,Struthio,84633522,28829471,50.0,111000.0,-0.110971404039823,17572,2024-07-22,struthio camelus,,,,,,,,,,,
GCF_048418815.1,Hemitrygon akajei,red stingray,Myliobatiformes,Dasyatidae,Hemitrygon,175234968,8940806,,,,21646,2025-03-05,hemitrygon akajei,,,,,,,,,,,
GCF_030144855.1,Hypanus sabinus,Atlantic stingray,Myliobatiformes,Dasyatidae,Hypanus,112262883,4266932,,,,22522,2023-06-05,hypanus sabinus,,,,,,,,,,,
GCF_963921235.1,Mobula hypostoma,lesser devil ray,Myliobatiformes,Myliobatidae,Mobula,152437164,23327000,,,,18916,2024-01-06,mobula hypostoma,,,,,,,,,,,
GCF_030028105.1,Mobula birostris,giant manta,Myliobatiformes,Myliobatidae,Mobula,148671352,7300797,,,,20172,2023-05-22,mobula birostris,,,,,,,,,,,
GCF_053455715.1,Rhinoraja longicauda,white-bellied softnose skate,Rajiformes,Arhynchobatidae,Rhinoraja,53501714,1663054,,,,18472,2025-11-13,rhinoraja longicauda,,,,,,,,,,,
GCF_963514005.1,Raja brachyura,blonde ray,Rajiformes,Rajidae,Raja,68366687,2048057,8.0,7865.0,-0.3157678869656328,18971,2023-09-28,raja brachyura,,,,,,,,,,,
GCF_010909765.2,Amblyraja radiata,thorny skate,Rajiformes,Rajidae,Amblyraja,62052929,1462921,16.0,2337.5,0.0671487135512107,18474,2020-02-21,amblyraja radiata,,,,,,,,,,,
GCF_028641065.1,Leucoraja erinaceus,little skate,Rajiformes,Rajidae,Leucoraja,57189699,5310386,,,,18970,2023-02-22,leucoraja erinaceus,,,,,,,,,,,
GCF_009764475.1,Pristis pectinata,smalltooth sawfish,Rhinopristiformes,Pristidae,Pristis,101699621,17009522,,,,17434,2019-12-19,pristis pectinata,,,,,,,,,,,
GCF_036971445.1,Narcine bancroftii,Caribbean electric ray,Torpediniformes,Narcinidae,Narcine,257710454,5195315,,,,18559,2024-03-06,narcine bancroftii,,,,,,,,,,,
GCF_900747795.2,Erpetoichthys calabaricus,reedfish,Polypteriformes,Polypteridae,Erpetoichthys,217689105,6772339,,,,22075,2021-07-07,erpetoichthys calabaricus,,,,,,,,,,,
GCF_016835505.1,Polypterus senegalus,gray bichir,Polypteriformes,Polypteridae,Polypterus,189689183,4528139,,,,21953,2021-02-09,polypterus senegalus,,,,,,,,,,,
GCF_047335585.1,Pogona vitticeps,central bearded dragon,Squamata,Agamidae,Pogona,274873533,202516942,12.0,500.0,-0.2941807158246987,19105,2025-01-31,pogona vitticeps,,,,,,,,,,,
GCF_051106095.1,Pogona vitticeps,central bearded dragon,Squamata,Agamidae,Pogona,266210064,134074000,12.0,500.0,-0.2941807158246987,19760,2025-06-26,pogona vitticeps,,,,,,,,,,,
GCF_023053635.1,Elgaria multicarinata webbii,,Squamata,Anguidae,Elgaria,121985326,85762895,,,,19563,2024-01-04,elgaria multicarinata webbii,,,,,,,,,,,
GCF_035149785.1,Candoia aspera,,Squamata,Boidae,Candoia,209480725,55640180,,,,18397,2024-01-18,candoia aspera,,,,,,,,,,,
GCF_028640845.1,Ahaetulla prasina,,Squamata,Colubridae,Ahaetulla,231952326,23873608,,,,18292,2023-02-22,ahaetulla prasina,,,,,,,,,,,
GCF_009769535.1,Thamnophis elegans,Western terrestrial garter snake,Squamata,Colubridae,Thamnophis,100851885,4620601,,,,18900,2019-12-23,thamnophis elegans,,,,,,,,,,,
GCF_027244095.1,Hemicordylus capensis,graceful crag lizard,Squamata,Cordylidae,Hemicordylus,359646233,160691000,,,,21239,2022-12-28,hemicordylus capensis,,,,,,,,,,,
GCF_035594765.1,Anolis carolinensis,green anole,Squamata,Dactyloidae,Anolis,288964324,26091274,,,,20447,2024-01-12,anolis carolinensis,,,,,,,,,,,
GCF_037176765.1,Anolis sagrei,brown anole,Squamata,Dactyloidae,Anolis,249210491,43146625,,,,20130,2024-03-15,anolis sagrei,,,,,,,,,,,
GCF_031021105.1,Erythrolamprus reginae,royal ground snake,Squamata,Dipsadidae,Erythrolamprus,259117534,3064756,,,,19996,2023-08-31,erythrolamprus reginae,,,,,,,,,,,
GCF_028583425.1,Eublepharis macularius,,Squamata,Eublepharidae,Eublepharis,145573841,80105973,,,,20469,2023-02-10,eublepharis macularius,,,,,,,,,,,
GCF_032191835.1,Heteronotia binoei,common prickly gecko,Squamata,Gekkonidae,Heteronotia,150619664,14376057,,,,20682,2023-09-29,heteronotia binoei,,,,,,,,,,,
GCF_049243985.1,Paroedura picta,,Squamata,Gekkonidae,Paroedura,129360563,52451795,,,,20165,2025-04-02,paroedura picta,,,,,,,,,,,
GCF_963506605.1,Zootoca vivipara,common lizard,Squamata,Lacertidae,Zootoca,96056580,3447840,,,,20197,2023-09-20,zootoca vivipara,,,,,,,,,,,
GCF_951804945.1,Podarcis cretensis,,Squamata,Lacertidae,Podarcis,94621998,65743000,,,,20094,2023-06-02,podarcis cretensis,,,,,,,,,,,
GCF_027172205.1,Podarcis raffonei,Aeolian wall lizard,Squamata,Lacertidae,Podarcis,93623253,61439401,,,,20895,2022-12-27,podarcis raffonei,,,,,,,,,,,
GCF_011800845.1,Zootoca vivipara,common lizard,Squamata,Lacertidae,Zootoca,92810032,219893,,,,20278,2020-04-01,zootoca vivipara,,,,,,,,,,,
GCF_004329235.1,Podarcis muralis,Common wall lizard,Squamata,Lacertidae,Podarcis,92398148,714612,,,,21258,2019-03-07,podarcis muralis,,,,,,,,,,,
GCF_964188315.1,Podarcis muralis,Common wall lizard,Squamata,Lacertidae,Podarcis,91987695,3229453,,,,20953,2024-06-21,podarcis muralis,,,,,,,,,,,
GCF_009819535.1,Lacerta agilis,Sand lizard,Squamata,Lacertidae,Lacerta,86565987,6613248,,,,20325,2019-12-31,lacerta agilis,,,,,,,,,,,
GCF_019175285.1,Sceloporus undulatus,fence lizard,Squamata,Phrynosomatidae,Sceloporus,275632209,75501,,,,19905,2021-07-08,sceloporus undulatus,,,,,,,,,,,
GCF_030035675.1,Rhineura floridana,,Squamata,Rhineuridae,Rhineura,188683971,18156940,,,,20552,2023-05-22,rhineura floridana,,,,,,,,,,,
GCF_035046505.1,Tiliqua scincoides,,Squamata,Scincidae,Tiliqua,242160784,33113817,26.6,493.0,0.0524596872902531,18882,2024-01-04,tiliqua scincoides,,,,,,,,,,,
GCF_021028975.2,Sphaerodactylus townsendi,,Squamata,Sphaerodactylidae,Sphaerodactylus,133801376,9459502,,,,18976,2022-04-08,sphaerodactylus townsendi,,,,,,,,,,,
GCF_029931775.1,Euleptes europaea,tarantolino,Squamata,Sphaerodactylidae,Euleptes,102317683,26991305,,,,18633,2023-05-15,euleptes europaea,,,,,,,,,,,
GCF_050624435.1,Tenrec ecaudatus,tailess tenrec,Afrosoricida,Tenrecidae,Tenrec,163958880,41601014,8.7,900.0,-0.2009086937375277,21285,2025-05-30,tenrec ecaudatus,NOCTURNAL,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
GCF_028564815.1,Eubalaena glacialis,North Atlantic right whale,Artiodactyla,Balaenidae,Eubalaena,129620717,37467374,67.0,23000000.0,-0.0095315970495404,20149,2023-02-09,eubalaena glacialis,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_028023285.1,Balaenoptera ricei,Rice's whale,Artiodactyla,Balaenopteridae,Balaenoptera,122071569,36541936,,,,19788,2023-01-30,balaenoptera ricei,,,,,,,,,,,
GCF_949987535.1,Balaenoptera acutorostrata,minke whale,Artiodactyla,Balaenopteridae,Balaenoptera,116513105,3015723,50.0,7500000.0,-0.0598760456437936,20286,2023-05-01,balaenoptera acutorostrata,,70.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_009873245.2,Balaenoptera musculus,blue whale,Artiodactyla,Balaenopteridae,Balaenoptera,110314666,6315640,110.0,136000000.0,0.0840510128352824,19686,2020-10-02,balaenoptera musculus,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_029407905.1,Bubalus kerabau,carabao,Artiodactyla,Bovidae,Bubalus,121846921,91172394,,,,21871,2023-03-31,bubalus kerabau,,,,,,,,,,,
GCF_019923925.1,Bubalus bubalis,water buffalo,Artiodactyla,Bovidae,Bubalus,117225556,5359742,34.9,725000.0,-0.0559715945993832,21379,2021-09-10,bubalus bubalis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_003121395.1,Bubalus bubalis,water buffalo,Artiodactyla,Bovidae,Bubalus,117219835,22441509,34.9,725000.0,-0.0559715945993832,20801,2018-05-14,bubalus bubalis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_019923935.1,Bubalus bubalis,water buffalo,Artiodactyla,Bovidae,Bubalus,116997125,9586610,34.9,725000.0,-0.0559715945993832,21359,2021-09-10,bubalus bubalis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_032405125.1,Capricornis sumatraensis,Sumatran serow,Artiodactyla,Bovidae,Capricornis,112748084,100934918,18.5,95000.0,-0.1924133686763509,20155,2024-03-13,capricornis sumatraensis,CREPUSCULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_023091745.1,Budorcas taxicolor,takin,Artiodactyla,Bovidae,Budorcas,109747698,68053581,21.9,180000.0,-0.1629178755508971,20434,2022-04-22,budorcas taxicolor,DIURNAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_002742125.1,Ovis aries,sheep,Artiodactyla,Bovidae,Ovis,107697089,2572683,22.8,80000.0,-0.0898785300402793,21160,2017-11-02,ovis aries,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_000247795.1,Bos indicus,zebu cattle,Artiodactyla,Bovidae,Bos,106310653,28375,,,,19786,2014-11-25,bos indicus,,,,,,,,,,,
GCF_042477335.2,Ovis canadensis,bighorn sheep,Artiodactyla,Bovidae,Ovis,105224494,105224494,20.6,70275.0,-0.1250678532122389,20615,2024-10-18,ovis canadensis,DIURNAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_029378745.1,Bos indicus,zebu cattle,Artiodactyla,Bovidae,Bos,104596815,42080189,,,,20976,2023-03-24,bos indicus,,,,,,,,,,,
GCF_003369695.1,Bos indicus x Bos taurus,hybrid cattle,Artiodactyla,Bovidae,Bos,104466507,26764281,,,,20846,2018-11-30,bos indicus x bos taurus,,,,,,,,,,,
GCF_027580195.1,Bos mutus,wild yak,Artiodactyla,Bovidae,Bos,103902138,38284421,,,,20029,2023-01-09,bos mutus,DIURNAL,,,,,,,,,,
GCF_002263795.3,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,103308737,26402946,20.0,750000.0,-0.3000892777337025,21667,2023-07-01,bos taurus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_016772045.2,Ovis aries,sheep,Artiodactyla,Bovidae,Ovis,101274418,43178051,22.8,80000.0,-0.0898785300402793,21300,2023-07-20,ovis aries,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_000298735.2,Ovis aries,sheep,Artiodactyla,Bovidae,Ovis,100009711,150472,22.8,80000.0,-0.0898785300402793,20545,2015-11-20,ovis aries,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_032452875.1,Bos javanicus,banteng,Artiodactyla,Bovidae,Bos,87549292,47146240,27.1,700000.0,-0.1634239798839436,21582,2023-10-11,bos javanicus,CATHEMERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_001704415.2,Capra hircus,goat,Artiodactyla,Bovidae,Capra,87277232,26244591,20.8,61000.0,-0.111176112896159,20572,2016-08-24,capra hircus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_048773025.1,Camelus bactrianus,Bactrian camel,Artiodactyla,Camelidae,Camelus,79915242,54723239,35.4,475000.0,-0.0208281207650935,19886,2025-03-21,camelus bactrianus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_009834535.1,Camelus ferus,Wild Bactrian camel,Artiodactyla,Camelidae,Camelus,76025729,5365398,,,,20222,2020-01-08,camelus ferus,DIURNAL,,,,,,,,,,
GCF_048564905.1,Vicugna pacos,alpaca,Artiodactyla,Camelidae,Vicugna,75404351,40278543,25.8,62000.0,-0.0187335854406935,21233,2025-03-12,vicugna pacos,,,,,,,,,,,
GCF_036321535.1,Camelus dromedarius,Arabian camel,Artiodactyla,Camelidae,Camelus,72991593,31216184,28.4,434000.0,-0.1103295411042095,19771,2024-01-31,camelus dromedarius,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_000803125.2,Camelus dromedarius,Arabian camel,Artiodactyla,Camelidae,Camelus,70369702,236391,28.4,434000.0,-0.1103295411042095,20062,2019-10-07,camelus dromedarius,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_963930625.1,Muntiacus reevesi,Reeves' muntjac,Artiodactyla,Cervidae,Muntiacus,114544513,5780196,23.2,18000.0,0.0198527710820128,21410,2024-01-31,muntiacus reevesi,DIURNAL,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,80.0
GCF_910594005.1,Cervus elaphus,red deer,Artiodactyla,Cervidae,Cervus,83473711,68741660,31.5,200000.0,-0.0122686180920374,22941,2021-07-07,cervus elaphus,DIURNAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_019320065.1,Cervus canadensis,elk,Artiodactyla,Cervidae,Cervus,77654944,914577,,,,22348,2021-07-26,cervus canadensis,,,,,,,,,,,
GCF_033118175.1,Dama dama,fallow deer,Artiodactyla,Cervidae,Dama,77069784,68791581,21.1,70000.0,-0.1143840388785282,22157,2023-11-02,dama dama,DIURNAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_023699985.2,Odocoileus virginianus,white-tailed deer,Artiodactyla,Cervidae,Odocoileus,66396233,21769372,23.0,87000.0,-0.0918314116636898,20237,2024-10-17,odocoileus virginianus,CREPUSCULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0
GCF_937001465.1,Orcinus orca,killer whale,Artiodactyla,Delphinidae,Orcinus,114219206,45583382,90.0,3987500.0,0.2386704673651596,19396,2022-05-03,orcinus orca,,25.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_949774975.1,Lagenorhynchus albirostris,white-beaked dolphin,Artiodactyla,Delphinidae,Lagenorhynchus,110721866,3398034,,,,19117,2023-04-08,lagenorhynchus albirostris,,40.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_039906515.1,Pseudorca crassidens,false killer whale,Artiodactyla,Delphinidae,Pseudorca,110095734,58817648,62.5,748000.0,0.1949436542519163,18472,2024-05-31,pseudorca crassidens,,60.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_011762595.2,Tursiops truncatus,common bottlenose dolphin,Artiodactyla,Delphinidae,Tursiops,108430135,9729386,51.6,200000.0,0.2020705297455733,18550,2024-12-12,tursiops truncatus,,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_949987515.2,Delphinus delphis,saddleback dolphin,Artiodactyla,Delphinidae,Delphinus,107080983,3627551,,,,18393,2024-09-07,delphinus delphis,,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_951394435.1,Stenella coeruleoalba,striped dolphin,Artiodactyla,Delphinidae,Stenella,105253534,3590204,57.5,112500.0,0.2885010411989341,19169,2023-06-16,stenella coeruleoalba,,60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_963455315.2,Globicephala melas,long-finned pilot whale,Artiodactyla,Delphinidae,Globicephala,105087932,3290841,60.0,1060000.0,0.1533343802336551,18508,2024-09-07,globicephala melas,,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_028021215.1,Eschrichtius robustus,grey whale,Artiodactyla,Eschrichtiidae,Eschrichtius,126538682,39209000,77.0,28500000.0,0.0361972773831069,18965,2023-01-31,eschrichtius robustus,,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_030028045.1,Hippopotamus amphibius kiboko,,Artiodactyla,Hippopotamidae,Hippopotamus,149218186,50348260,,,,22139,2023-05-18,hippopotamus amphibius kiboko,,,,,,,,,,,
GCF_008692025.1,Phocoena sinus,vaquita,Artiodactyla,Phocoenidae,Phocoena,115469292,20218762,,,,19069,2019-09-26,phocoena sinus,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
