accession,organism_name,common_name,species_taxid,infraclass,order,family,genus,scaffold_n50,contig_n50,total_sequence_length,max_lifespan,body_mass,LQ,refseq_category,submission_date
GCA_040436645.1,Gallus gallus,chicken,9031,,,,,91836423,91836423,1097851144,30.0,779.8,0.12113682118255631,,2024-07-02
GCA_977927495.1,Gallus gallus,chicken,9031,,,,,91822226,59948741,1056192001,30.0,779.8,0.12113682118255631,,2025-12-12
GCA_027557775.1,Gallus gallus,chicken,9031,,,,,91555271,5465831,1094281734,30.0,779.8,0.12113682118255631,,2023-01-03
GCA_040436655.1,Gallus gallus,chicken,9031,,,,,91553107,75248722,1105034991,30.0,779.8,0.12113682118255631,,2024-07-02
GCA_052054655.1,Gallus gallus,chicken,9031,,,,,91513392,20973209,1079471232,30.0,779.8,0.12113682118255631,,2025-08-15
GCA_034769225.1,Gallus gallus,chicken,9031,,,,,91460022,58636,991178516,30.0,779.8,0.12113682118255631,,2023-12-29
GCA_024206055.2,Gallus gallus,chicken,9031,,,,,91364047,91364047,1100911310,30.0,779.8,0.12113682118255631,,2023-02-09
GCA_034769275.1,Gallus gallus,chicken,9031,,,,,91200165,63016,996204998,30.0,779.8,0.12113682118255631,,2023-12-29
GCA_030914275.2,Gallus gallus,chicken,9031,,,,,90877777,48829679,1025951901,30.0,779.8,0.12113682118255631,,2024-03-22
GCA_016699485.1,Gallus gallus,chicken,9031,,,,,90861225,18834961,1053315467,30.0,779.8,0.12113682118255631,reference genome,2021-01-19
GCF_016699485.2,Gallus gallus,chicken,9031,,,,,90861225,18834961,1053315467,30.0,779.8,0.12113682118255631,reference genome,2021-01-19
GCA_030979905.2,Gallus gallus,chicken,9031,,,,,90729915,23646952,1027403116,30.0,779.8,0.12113682118255631,,2024-03-22
GCA_024652985.1,Gallus gallus,chicken,9031,,,,,90570627,218587,1023494120,30.0,779.8,0.12113682118255631,,2022-08-15
GCA_016700215.2,Gallus gallus,chicken,9031,,,,,90563926,17744542,1050511239,30.0,779.8,0.12113682118255631,,2021-10-01
GCF_016700215.2,Gallus gallus,chicken,9031,,,,,90563926,17744542,1050511239,30.0,779.8,0.12113682118255631,,2021-10-01
GCA_024652995.1,Gallus gallus,chicken,9031,,,,,90557900,246868,1036653693,30.0,779.8,0.12113682118255631,,2022-08-15
GCA_030914265.2,Gallus gallus,chicken,9031,,,,,90535393,62778941,1035844433,30.0,779.8,0.12113682118255631,,2024-03-22
GCA_030849555.2,Gallus gallus,chicken,9031,,,,,90525302,59720364,1037065285,30.0,779.8,0.12113682118255631,,2024-03-22
GCA_039997075.1,Gallus gallus,chicken,9031,,,,,90511606,40292119,1023165347,30.0,779.8,0.12113682118255631,,2024-05-31
GCA_024653045.1,Gallus gallus,chicken,9031,,,,,90469443,246386,1036335579,30.0,779.8,0.12113682118255631,,2022-08-15
GCA_024653035.1,Gallus gallus,chicken,9031,,,,,90425439,257189,1018159992,30.0,779.8,0.12113682118255631,,2022-08-15
GCA_024653025.1,Gallus gallus,chicken,9031,,,,,90290900,290226,1024875044,30.0,779.8,0.12113682118255631,,2022-08-15
GCA_025370635.1,Gallus gallus,chicken,9031,,,,,90285403,333100,1031193845,30.0,779.8,0.12113682118255631,,2022-09-23
GCA_002798355.1,Gallus gallus,chicken,9031,,,,,90110113,639813,1021005462,30.0,779.8,0.12113682118255631,,2017-12-05
GCA_000003025.6,Sus scrofa,pig,9823,,,,,88231837,48231277,2501895775,27.0,130000.0,-0.04970683452435787,,2017-02-07
GCF_000003025.6,Sus scrofa,pig,9823,,,,,88231837,48231277,2501895775,27.0,130000.0,-0.04970683452435787,reference genome,2017-02-07
GCA_027408225.1,Gallus gallus,chicken,9031,,,,,87475253,8326736,1109044877,30.0,779.8,0.12113682118255631,,2022-12-28
GCA_041920315.1,Gallus gallus,chicken,9031,,,,,86588210,72465781,1136064920,30.0,779.8,0.12113682118255631,,2024-09-16
GCA_039998725.1,Anas platyrhynchos,mallard,8839,,,,,83980382,12173573,1291275890,29.1,1048.1,0.08083576152181937,,2024-05-31
GCA_055691045.1,Gallus gallus,chicken,9031,,,,,83786400,21756992,1131132139,30.0,779.8,0.12113682118255631,,2026-03-05
GCA_055697225.1,Gallus gallus,chicken,9031,,,,,80683582,21415541,1121864345,30.0,779.8,0.12113682118255631,,2026-03-04
GCA_047663525.1,Anas platyrhynchos,mallard,8839,,,,,80154792,80154792,1261969826,29.1,1048.1,0.08083576152181937,reference genome,2025-02-12
GCF_047663525.1,Anas platyrhynchos,mallard,8839,,,,,80154792,80154792,1261969826,29.1,1048.1,0.08083576152181937,reference genome,2025-02-12
GCA_054730915.1,Anas platyrhynchos,mallard,8839,,,,,79802745,43225645,1281866887,29.1,1048.1,0.08083576152181937,,2026-01-26
GCA_002224895.2,Anas platyrhynchos,mallard,8839,,,,,79458228,146179,1257176136,29.1,1048.1,0.08083576152181937,,2025-07-15
GCA_030704485.1,Anas platyrhynchos,mallard,8839,,,,,79203680,42971,1045548955,29.1,1048.1,0.08083576152181937,,2023-08-14
GCA_008746955.4,Anas platyrhynchos,mallard,8839,,,,,76953781,76953781,1221947637,29.1,1048.1,0.08083576152181937,,2025-11-14
GCA_037218355.1,Anas platyrhynchos,mallard,8839,,,,,76569693,68969317,1159662675,29.1,1048.1,0.08083576152181937,,2024-03-18
GCA_048756695.1,Anas platyrhynchos,mallard,8839,,,,,76290100,15273318,1181095098,29.1,1048.1,0.08083576152181937,,2025-03-21
GCA_015476345.1,Anas platyrhynchos,mallard,8839,,,,,76269206,5679408,1188516685,29.1,1048.1,0.08083576152181937,,2020-11-23
GCF_015476345.1,Anas platyrhynchos,mallard,8839,,,,,76269206,5679408,1188516685,29.1,1048.1,0.08083576152181937,,2020-11-23
GCA_053542945.1,Anas platyrhynchos,mallard,8839,,,,,76267873,76267873,1206629822,29.1,1048.1,0.08083576152181937,,2025-11-18
GCA_003850225.1,Anas platyrhynchos,mallard,8839,,,,,76129154,36811,1126159488,29.1,1048.1,0.08083576152181937,,2018-11-29
GCF_003850225.1,Anas platyrhynchos,mallard,8839,,,,,76129154,36811,1126159488,29.1,1048.1,0.08083576152181937,,2018-11-29
GCA_047301635.1,Anas platyrhynchos,mallard,8839,,,,,76075831,10900000,1154847137,29.1,1048.1,0.08083576152181937,,2025-01-30
GCA_900411745.1,Anas platyrhynchos,mallard,8839,,,,,74035964,29908,1087903987,29.1,1048.1,0.08083576152181937,,2020-06-28
GCA_963513975.1,Fringilla coelebs,chaffinch,37598,,,,,73246393,3733973,1209226962,29.0,20.7,0.4386612008284123,reference genome,2023-09-28
GCA_964188345.1,Anas platyrhynchos,mallard,8839,,,,,69288905,3518761,1300232380,29.1,1048.1,0.08083576152181937,,2024-06-21
GCA_053567815.1,Anas platyrhynchos,mallard,8839,,,,,67225228,67225228,1305679444,29.1,1048.1,0.08083576152181937,,2025-11-18
GCA_905319855.2,Canis lupus,wolf,9612,,,,,65778685,34375412,2447447219,20.6,26625.0,-0.05858424437574672,,2021-03-26
GCA_034620435.1,Canis lupus,wolf,9612,,,,,64498519,44625132,2351850695,20.6,26625.0,-0.05858424437574672,,2023-12-27
GCA_040361135.1,Anas platyrhynchos,mallard,8839,,,,,64456614,14901487,1281425178,29.1,1048.1,0.08083576152181937,,2024-06-28
GCA_016271365.2,Neoceratodus forsteri,Australian lungfish,7892,,Ceratodontiformes,Ceratodontidae,Neoceratodus,1485207024,1402697193,34557648077,,,,reference genome,2023-05-16
GCA_040581445.1,Lepidosiren paradoxa,South American lungfish,7883,,Ceratodontiformes,Lepidosirenidae,Lepidosiren,1992257274,11627988,87218830714,,,,reference genome,2024-07-19
GCA_019279795.1,Protopterus annectens,West African lungfish,7888,,Ceratodontiformes,Protopteridae,Protopterus,1974114035,1603140,40054324612,,,,reference genome,2021-07-20
GCF_019279795.1,Protopterus annectens,West African lungfish,7888,,Ceratodontiformes,Protopteridae,Protopterus,1974114035,1603140,40054324612,,,,reference genome,2021-07-20
GCA_040939525.1,Protopterus annectens,West African lungfish,7888,,Ceratodontiformes,Protopteridae,Protopterus,1950821829,3414998,40524157013,,,,,2024-08-01
GCA_037176945.1,Latimeria chalumnae,coelacanth,7897,,Coelacanthiformes,Coelacanthidae,Latimeria,188107785,42076942,2947609019,48.0,52250.0,,reference genome,2024-03-18
GCF_037176945.1,Latimeria chalumnae,coelacanth,7897,,Coelacanthiformes,Coelacanthidae,Latimeria,188107785,42076942,2947609019,48.0,52250.0,,reference genome,2024-03-18
GCA_030867095.1,Alligator mississippiensis,American alligator,8496,,Crocodylia,Alligatoridae,Alligator,255078640,38556409,2346779227,77.0,150000.0,0.13284251884178144,reference genome,2023-08-24
GCF_030867095.1,Alligator mississippiensis,American alligator,8496,,Crocodylia,Alligatoridae,Alligator,255078640,38556409,2346779227,77.0,150000.0,0.13284251884178144,reference genome,2023-08-24
GCA_052110815.1,Crocodylus siamensis,Siamese crocodile,68455,,Crocodylia,Crocodylidae,Crocodylus,247920864,22917388,2128057549,,,,reference genome,2025-08-18
GCA_054825085.1,Crocodylus niloticus,Nile crocodile,8501,,Crocodylia,Crocodylidae,Crocodylus,222540633,111505586,2344593006,,,,reference genome,2026-01-29
GCA_054954115.1,Crocodylus niloticus,Nile crocodile,8501,,Crocodylia,Crocodylidae,Crocodylus,220680538,110865934,2340748198,,,,,2026-01-29
GCA_030020295.1,Gavialis gangeticus,Gharial,94835,,Crocodylia,Gavialidae,Gavialis,257319116,84235120,2328538659,,,,,2023-05-22
GCA_033958435.1,Carettochelys insculpta,pitted-shelled turtle,44489,,Testudines,Carettochelyidae,Carettochelys,130115908,126464372,2180317067,,,,reference genome,2023-11-27
GCF_033958435.1,Carettochelys insculpta,pitted-shelled turtle,44489,,Testudines,Carettochelyidae,Carettochelys,130115908,126464372,2180317067,,,,reference genome,2023-11-27
GCA_040894355.2,Myuchelys georgesi,Bellinger river turtle,1041117,,Testudines,Chelidae,Myuchelys,123447689,56181416,1980039302,,,,reference genome,2025-02-07
GCA_054346155.1,Emydura subglobosa,,251359,,Testudines,Chelidae,Emydura,122085354,99727220,2002938025,,,,reference genome,2026-01-05
GCA_049999965.1,Hydromedusa tectifera,,61327,,Testudines,Chelidae,Hydromedusa,118569001,63372439,1849762660,,,,reference genome,2025-04-29
GCA_965140275.1,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,137610697,119638208,2206382585,37.0,156500.0,-0.18827478344847592,,2025-02-13
GCA_965140235.1,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,137541926,124322749,2217236305,37.0,156500.0,-0.18827478344847592,reference genome,2025-02-13
GCF_965140235.1,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,137541926,124322749,2217236305,37.0,156500.0,-0.18827478344847592,reference genome,2025-02-13
GCA_965140295.1,Lepidochelys olivacea,Pacific ridley,27788,,Testudines,Cheloniidae,Lepidochelys,137258246,91320439,2206568898,,,,reference genome,2025-02-13
GCA_030012505.1,Eretmochelys imbricata,hawksbill sea turtle,27787,,Testudines,Cheloniidae,Eretmochelys,137212766,82034986,2296226205,,,,,2023-05-15
GCA_965152285.1,Eretmochelys imbricata,hawksbill sea turtle,27787,,Testudines,Cheloniidae,Eretmochelys,137068235,80994248,2224324466,,,,,2025-02-16
GCA_965140255.1,Lepidochelys olivacea,Pacific ridley,27788,,Testudines,Cheloniidae,Lepidochelys,137004717,90076186,2208046144,,,,,2025-02-13
GCA_965140265.1,Lepidochelys kempii,Atlantic ridley,8472,,Testudines,Cheloniidae,Lepidochelys,136811586,59796335,2204769334,,,,,2025-03-26
GCF_965140265.1,Lepidochelys kempii,Atlantic ridley,8472,,Testudines,Cheloniidae,Lepidochelys,136811586,59796335,2204769334,,,,,2025-03-26
GCA_965140285.1,Lepidochelys kempii,Atlantic ridley,8472,,Testudines,Cheloniidae,Lepidochelys,136730895,52784435,2219022919,,,,reference genome,2025-03-26
GCF_965140285.1,Lepidochelys kempii,Atlantic ridley,8472,,Testudines,Cheloniidae,Lepidochelys,136730895,52784435,2219022919,,,,reference genome,2025-03-26
GCA_965152235.1,Eretmochelys imbricata,hawksbill sea turtle,27787,,Testudines,Cheloniidae,Eretmochelys,136542973,80323000,2217987207,,,,reference genome,2025-04-10
GCF_965152235.1,Eretmochelys imbricata,hawksbill sea turtle,27787,,Testudines,Cheloniidae,Eretmochelys,136542973,80323000,2217987207,,,,reference genome,2025-04-10
GCA_015237465.2,Chelonia mydas,Green sea turtle,8469,,Testudines,Cheloniidae,Chelonia,134428053,39415510,2134358617,75.0,160000.0,0.11711010337450167,reference genome,2021-07-15
GCF_015237465.2,Chelonia mydas,Green sea turtle,8469,,Testudines,Cheloniidae,Chelonia,134428053,39415510,2134358617,75.0,160000.0,0.11711010337450167,reference genome,2021-07-15
GCA_965152275.1,Natator depressus,flatback sea turtle,27790,,Testudines,Cheloniidae,Natator,134157645,77014821,2173430419,,,,reference genome,2025-02-16
GCF_965152275.1,Natator depressus,flatback sea turtle,27790,,Testudines,Cheloniidae,Natator,134157645,77014821,2173430419,,,,reference genome,2025-02-16
GCA_965152195.1,Natator depressus,flatback sea turtle,27790,,Testudines,Cheloniidae,Natator,132554442,77975201,2130756730,,,,,2025-02-16
GCF_023653815.2,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,130956235,18214114,2133995980,37.0,156500.0,-0.18827478344847592,,2022-06-07
GCA_023653815.1,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,130956235,18214114,2133995980,37.0,156500.0,-0.18827478344847592,,2022-06-07
GCA_965117115.1,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,129734102,5360101,2145737358,37.0,156500.0,-0.18827478344847592,,2025-01-24
GCA_033296515.1,Macrochelys suwanniensis,Suwannee snapping turtle,3026461,,Testudines,Chelydridae,Macrochelys,139680232,43882550,2132261265,,,,reference genome,2023-11-06
GCA_033349115.1,Macrochelys suwanniensis,Suwannee snapping turtle,3026461,,Testudines,Chelydridae,Macrochelys,133157836,28400779,1937254095,,,,,2023-11-06
GCA_054099655.1,Dermatemys mawii,,55550,,Testudines,Dermatemydidae,Dermatemys,112986257,57121583,1951700107,,,,reference genome,2025-12-18
GCA_054099715.1,Dermatemys mawii,,55550,,Testudines,Dermatemydidae,Dermatemys,110990578,78144100,1926746312,,,,,2025-12-18
GCA_009764565.4,Dermochelys coriacea,leatherback sea turtle,27794,,Testudines,Dermochelyidae,Dermochelys,137568771,7029801,2164762090,30.0,420000.0,-0.34517439795406246,reference genome,2021-08-25
GCF_009764565.3,Dermochelys coriacea,leatherback sea turtle,27794,,Testudines,Dermochelyidae,Dermochelys,137568771,7029801,2164762090,30.0,420000.0,-0.34517439795406246,reference genome,2021-08-25
GCA_037418315.2,Chrysemys picta marginata,midland painted turtle,391339,,Testudines,Emydidae,Chrysemys,146520651,51334297,2315601350,,,,,2025-08-18
GCA_028017835.1,Emys orbicularis,European pond turtle,82168,,Testudines,Emydidae,Emys,146456333,91255289,2309740635,,,,reference genome,2023-01-30
GCF_028017835.1,Emys orbicularis,European pond turtle,82168,,Testudines,Emydidae,Emys,146456333,91255289,2309740635,,,,reference genome,2023-01-30
GCA_037349215.2,Graptemys geographica,map turtle,8481,,Testudines,Emydidae,Graptemys,145729234,83656063,2225172804,,,,reference genome,2025-07-18
GCA_027887155.1,Malaclemys terrapin pileata,,2991368,,Testudines,Emydidae,Malaclemys,144565223,75591180,2211221380,,,,reference genome,2023-01-18
GCF_027887155.1,Malaclemys terrapin pileata,,2991368,,Testudines,Emydidae,Malaclemys,144565223,75591180,2211221380,,,,reference genome,2023-01-18
GCA_027887205.1,Malaclemys terrapin pileata,,2991368,,Testudines,Emydidae,Malaclemys,143972775,97701506,2212837039,,,,,2023-01-18
GCA_037113585.1,Malaclemys terrapin centrata,,1087311,,Testudines,Emydidae,Malaclemys,143749486,63948927,2207474184,,,,,2024-03-13
GCA_013100865.1,Trachemys scripta elegans,,31138,,Testudines,Emydidae,Trachemys,140411086,204575,2126182493,,,,reference genome,2020-05-15
GCF_013100865.1,Trachemys scripta elegans,,31138,,Testudines,Emydidae,Trachemys,140411086,204575,2126182493,,,,reference genome,2020-05-15
GCA_011386835.2,Chrysemys picta bellii,western painted turtle,8478,,Testudines,Emydidae,Chrysemys,133555881,13370154,2372089908,,,,reference genome,2023-09-08
GCF_011386835.1,Chrysemys picta bellii,western painted turtle,8478,,Testudines,Emydidae,Chrysemys,133555881,13370154,2372089908,,,,reference genome,2023-09-08
GCA_045781095.1,Pangshura tecta,Indian roofed turtle,260642,,Testudines,Geoemydidae,Pangshura,136649681,54152134,2165924875,,,,reference genome,2024-12-06
GCA_045781085.1,Pangshura tecta,Indian roofed turtle,260642,,Testudines,Geoemydidae,Pangshura,135935731,58728674,2174567992,,,,,2024-12-06
GCA_020497125.1,Mauremys mutica,yellowpond turtle,74926,,Testudines,Geoemydidae,Mauremys,135065811,15010728,2484351270,,,,reference genome,2021-10-14
GCF_020497125.1,Mauremys mutica,yellowpond turtle,74926,,Testudines,Geoemydidae,Mauremys,135065811,15010728,2484351270,,,,reference genome,2021-10-14
GCA_032357905.1,Mauremys mutica,yellowpond turtle,74926,,Testudines,Geoemydidae,Mauremys,134295272,23753044,2428777300,,,,,2023-10-16
GCA_016161935.1,Mauremys reevesii,Reeves's turtle,260615,,Testudines,Geoemydidae,Mauremys,130473029,33352699,2367590653,,,,reference genome,2020-12-22
GCF_016161935.1,Mauremys reevesii,Reeves's turtle,260615,,Testudines,Geoemydidae,Mauremys,130473029,33352699,2367590653,,,,reference genome,2020-12-22
GCA_044707075.1,Staurotypus triporcatus,,55537,,Testudines,Kinosternidae,Staurotypus,111335768,16372,1751894025,,,,reference genome,2024-11-13
