accession,organism_name,common_name,species_taxid,infraclass,order,family,genus,assembly_name,assembly_level,refseq_category,scaffold_n50,contig_n50,total_sequence_length,scaffold_count,contig_count,gc_percent,genome_coverage,gene_count,protein_coding_count,submission_date,annotation_name
GCA_050231125.1,Sus scrofa,pig,9823,,,,,ASM5023112v1,Chromosome,,143096131,90477219,2660441857,30,53,42.5,88,0,0,2025-05-07,
GCA_030704935.2,Sus scrofa,pig,9823,,,,,ASM3070493v2,Complete Genome,,142295742,142295742,2659043654,20,20,42.5,80,0,0,2025-11-21,
GCA_963921485.1,Sus scrofa,pig,9823,,,,,norwegian_landrace,Chromosome,,142074565,142074565,2633787619,53,53,42.5,44,0,0,2024-01-11,
GCA_037447515.1,Sus scrofa,pig,9823,,,,,ASM3744751v1,Chromosome,,141826808,84745168,2714121607,98,274,42.5,43,0,0,2024-03-22,
GCA_023065835.1,Hippopotamus amphibius,hippopotamus,9833,,,,,ASM2306583v1,Chromosome,,141669128,49478000,2424261695,697,1298,41,69,0,0,2022-04-22,
GCA_050437135.1,Mus musculus,house mouse,10090,,,,,T2T_mhaESC_v1.0,Complete Genome,,141298708,141298708,2772909741,20,20,41.5,65,0,0,2025-05-19,
GCA_055447695.1,Sus scrofa,pig,9823,,,,,ASM5544769v1,Chromosome,,141082737,48482405,2537664381,81,161,42.5,33,0,0,2026-02-23,
GCA_040869115.1,Sus scrofa,pig,9823,,,,,ASM4086911v1,Chromosome,,140747000,64441000,2721475704,124,1743,42.5,34,0,0,2024-07-26,
GCA_024718415.1,Sus scrofa,pig,9823,,,,,ASM2471841v1,Chromosome,,140684285,8942329,2455664950,329,11876,42,100,0,0,2022-08-23,
GCA_007644095.1,Sus scrofa,pig,9823,,,,,ASM764409v1,Chromosome,,140438739,1009524,2491053062,6610,13644,42,361,0,0,2019-08-01,
GCA_044906105.1,Sus scrofa,pig,9823,,,,,ASM4490610v1,Chromosome,,140102113,43824660,2620959165,143,4967,42.5,25,0,0,2024-11-19,
GCA_048418805.1,Vulpes vulpes,red fox,9627,,,,,VulVul3,Chromosome,reference genome,139969695,55675583,2395584468,289,393,41.5,75,0,0,2025-03-05,
GCF_048418805.1,Vulpes vulpes,red fox,9627,,,,,VulVul3,Chromosome,reference genome,139969695,55675583,2395584468,289,393,41.5,75,32809,19905,2025-03-05,GCF_048418805.1-RS_2025_03
GCA_964106925.2,Vulpes vulpes,red fox,9627,,,,,mVulVul1.hap2.2,Chromosome,,139452099,2052204,2398532178,350,2169,41.5,28,0,0,2024-06-27,
GCA_043972725.1,Mus musculus,house mouse,10090,,,,,ASM4397272v1,Chromosome,,139350059,65506188,2720445931,113,152,41.5,69,0,0,2024-10-28,
GCA_964106825.2,Vulpes vulpes,red fox,9627,,,,,mVulVul1.hap1.2,Chromosome,,139235879,2040520,2411710590,460,2305,41.5,28,0,0,2024-06-27,
GCA_031225015.1,Sus scrofa,pig,9823,,,,,TPI_Babraham_pig_v1,Chromosome,,139229676,34948847,2447632473,1054,1390,42,57,0,0,2023-09-08,
GCA_001632555.1,Mus musculus,house mouse,10090,,,,,C57BL_6NJ_v1,Chromosome,,139118349,12707,2806783987,3893,376732,42,60,0,0,2016-05-09,
GCA_044906185.1,Sus scrofa,pig,9823,,,,,ASM4490618v1,Chromosome,,138906736,47507740,2716729215,8508,8722,42.5,24.7,0,0,2024-11-19,
GCA_031306245.1,Sus scrofa,pig,9823,,,,,NCMD,Chromosome,,138613896,5865964,2484527367,1076,1931,42,80,0,0,2023-09-14,
GCA_947593165.1,Mus musculus,house mouse,10090,,,,,NZO_HlLtJ_v3,Chromosome,,137857036,32925788,2822905246,382,615,41.5,40,0,0,2022-12-18,
GCA_015776825.1,Sus scrofa,pig,9823,,,,,Ninghe_Sus_1,Chromosome,,137575542,4265198,2458240772,70,1660,42,110,0,0,2020-12-08,
GCA_039654815.1,Sus scrofa,pig,9823,,,,,ASM3965481v1,Chromosome,,137306111,4924071,2519994213,1042,1959,42,79.78,0,0,2024-05-17,
GCA_964188535.1,Mus musculus,house mouse,10090,,,,,C57BL_6J_T2T_v1,Chromosome,,137126213,78831185,2731306900,237,345,41.5,40,0,0,2024-06-23,
GCA_001632615.1,Mus musculus,house mouse,10090,,,,,LP_J_v1,Chromosome,,135164694,12608,2730782202,3498,364700,42,60,0,0,2016-05-09,
GCA_001624185.1,Mus musculus,house mouse,10090,,,,,129S1_SvImJ_v1,Chromosome,,134541008,14243,2732657393,7153,327877,42,60,0,0,2016-04-26,
GCA_947599735.1,Mus musculus,house mouse,10090,,,,,LP_J_v3,Chromosome,,134505790,21715937,2856310111,427,744,41.5,40,0,0,2022-12-18,
GCA_001632575.1,Mus musculus,house mouse,10090,,,,,C3H_HeJ_v1,Chromosome,,133067396,14540,2701115015,4068,333187,41.5,60,0,0,2016-05-09,
GCA_001624295.1,Mus musculus,house mouse,10090,,,,,AKR_J_v1,Chromosome,,132982296,23042,2712691254,5952,242284,41.5,60,0,0,2016-04-26,
GCA_001624745.1,Mus musculus,house mouse,10090,,,,,NZO_HlLtJ_v1,Chromosome,,132960827,16509,2699250994,7021,294114,41.5,60,0,0,2016-04-26,
GCA_949316315.1,Mus musculus,house mouse,10090,,,,,mMusMuc1.1,Chromosome,,132150484,39533248,2770952436,178,279,41.5,34,0,0,2023-04-08,
GCA_002844635.1,Sus scrofa,pig,9823,,,,,USMARCv1.0,Chromosome,,131458098,6372407,2755421422,14156,14817,42.5,65,0,0,2017-12-20,
GCA_921998315.2,Mus musculus,house mouse,10090,,,,,DBA_2J_v3,Chromosome,,130880718,49659417,2603156777,351,446,41.5,40,0,0,2022-07-01,
GCA_900119615.2,Sus scrofa,pig,9823,,,,,WTSI_X_Y_pig V2,Chromosome,,129927919,4224874,175055249,11,698,41,50,0,0,2017-02-08,
GCA_001632525.1,Mus musculus,house mouse,10090,,,,,BALB_cJ_v1,Chromosome,,129642644,16195,2627327954,3824,305390,41.5,60,0,0,2016-05-09,
GCA_001624215.1,Mus musculus,house mouse,10090,,,,,A_J_v1,Chromosome,,129072804,19043,2629979094,4687,306829,41.5,60,0,0,2016-04-26,
GCA_001624505.1,Mus musculus,house mouse,10090,,,,,DBA_2J_v1,Chromosome,,128213663,13123,2606145858,4104,368024,42,60,0,0,2016-04-26,
GCA_043792745.1,Mus musculus,house mouse,10090,,,,,ASM4379274v1,Chromosome,,127881904,49788210,2894337515,781,835,41.5,45,0,0,2024-10-28,
GCA_043793115.1,Mus musculus,house mouse,10090,,,,,ASM4379311v1,Chromosome,,127549461,45942035,2855296846,1150,1214,41.5,52,0,0,2024-10-28,
GCA_921998325.2,Mus musculus,house mouse,10090,,,,,NOD_ShiLtJ_v3,Chromosome,,127269091,6749549,2517347543,167,963,42,40,0,0,2022-07-01,
GCA_921997125.2,Mus musculus,house mouse,10090,,,,,C3H_HeJ_v3,Chromosome,,127227482,8562414,2532421144,170,751,42,40,0,0,2022-07-01,
GCA_921998355.2,Mus musculus,house mouse,10090,,,,,A_J_v3,Chromosome,,127192181,16959821,2528244766,157,487,42,40,0,0,2022-06-30,
GCA_921997145.2,Mus musculus,house mouse,10090,,,,,BALB_cJ_v3,Chromosome,,127177172,35826829,2519896772,209,423,42,40,0,0,2022-07-01,
GCA_001624535.1,Mus musculus,house mouse,10090,,,,,FVB_NJ_v1,Chromosome,,127063089,15797,2588602990,5012,302597,42,60,0,0,2016-04-26,
GCA_921998905.2,Mus musculus,house mouse,10090,,,,,CBA_J_v3,Chromosome,,126990816,12206296,2520486995,142,543,42,40,0,0,2022-06-30,
GCA_922000895.2,Mus musculus,house mouse,10090,,,,,AKR_J_v3,Chromosome,,126857991,4609526,2502421059,194,1333,42,40,0,0,2022-07-01,
GCA_921999865.2,Mus musculus,house mouse,10090,,,,,C57BL_6NJ_v3,Chromosome,,126851431,8304515,2514593528,207,797,42,40,0,0,2022-07-01,
GCA_921998555.2,Mus musculus,house mouse,10090,,,,,129S1_SvImJ_v3,Chromosome,,126792426,5000807,2516247871,179,1109,42,40,0,0,2022-07-01,
GCA_921998635.2,Mus musculus,house mouse,10090,,,,,FVB_NJ_v3,Chromosome,,126399372,1916862,2516150399,375,2817,42,40,0,0,2022-07-01,
GCA_031763685.1,Mus musculus,house mouse,10090,,,,,NOD_SCID,Chromosome,,121827883,36353998,2717934897,281,372,41.5,47,0,0,2023-09-22,
GCA_052575565.1,Mus musculus,house mouse,10090,,,,,ASM5257556v1,Chromosome,,120867929,120867929,2613050807,37,37,41.5,30,0,0,2025-09-12,
GCA_000001635.9,Mus musculus,house mouse,10090,,,,,GRCm39,Chromosome,reference genome,106145001,59462871,2728206152,101,305,42,,0,0,2020-06-24,
GCF_000001635.27,Mus musculus,house mouse,10090,,,,,GRCm39,Chromosome,reference genome,106145001,59462871,2728206152,101,305,42,,50763,22198,2020-06-24,GCF_000001635.27-RS_2024_02
GCA_042477335.2,Ovis canadensis,bighorn sheep,37174,,,,,ARS-UI_OviCan_v2,Chromosome,reference genome,105224494,105224494,2974267070,41,44,44,,0,0,2024-10-18,
GCF_042477335.2,Ovis canadensis,bighorn sheep,37174,,,,,ARS-UI_OviCan_v2,Chromosome,reference genome,105224494,105224494,2974267070,41,44,44,,35002,20615,2024-10-18,GCF_042477335.2-RS_2024_12
GCA_052575535.1,Mus musculus,house mouse,10090,,,,,ASM5257553v1,Chromosome,,101961922,101961922,2636461246,38,38,41.5,30,0,0,2025-09-12,
GCA_031761455.1,Mus musculus,house mouse,10090,,,,,BALBC_Nude,Chromosome,,101020256,30118904,2754161322,1089,1224,41.5,45,0,0,2023-09-22,
GCA_004329235.1,Podarcis muralis,Common wall lizard,64176,,,,,PodMur_1.0,Chromosome,,92398148,714612,1511002858,2160,6245,44,100,0,0,2019-03-07,
GCF_004329235.1,Podarcis muralis,Common wall lizard,64176,,,,,PodMur_1.0,Chromosome,,92398148,714612,1511002858,2160,6245,44,100,26732,21258,2019-03-07,NCBI Podarcis muralis Annotation Release 100
GCA_964188315.1,Podarcis muralis,Common wall lizard,64176,,,,,rPodMur119.hap1.1,Chromosome,reference genome,91987695,3229453,1522624192,184,1011,44,46,0,0,2024-06-21,
GCF_964188315.1,Podarcis muralis,Common wall lizard,64176,,,,,rPodMur119.hap1.1,Chromosome,reference genome,91987695,3229453,1522624192,184,1011,44,46,26443,20953,2024-06-21,GCF_964188315.1-RS_2025_12
GCA_040436645.1,Gallus gallus,chicken,9031,,,,,ASM4043664v1,Chromosome,,91836423,91836423,1097851144,65,71,42.5,150,0,0,2024-07-02,
GCA_977927495.1,Gallus gallus,chicken,9031,,,,,GGswu2-m,Chromosome,,91822226,59948741,1056192001,83,94,43,124,0,0,2025-12-12,
GCA_027557775.1,Gallus gallus,chicken,9031,,,,,bGalGal4.pri,Chromosome,,91555271,5465831,1094281734,246,812,42,32.31,0,0,2023-01-03,
GCA_040436655.1,Gallus gallus,chicken,9031,,,,,ASM4043665v1,Chromosome,,91553107,75248722,1105034991,73,80,42.5,150,0,0,2024-07-02,
GCA_052054655.1,Gallus gallus,chicken,9031,,,,,ASM5205465v1,Chromosome,,91513392,20973209,1079471232,40,531,42.5,30,0,0,2025-08-15,
GCA_034769225.1,Gallus gallus,chicken,9031,,,,,CVASU_Gallus_Gallus_GG1M,Chromosome,,91460022,58636,991178516,125,35766,41.5,100,0,0,2023-12-29,
GCA_024206055.2,Gallus gallus,chicken,9031,,,,,GGswu,Chromosome,,91364047,91364047,1100911310,40,54,42.5,80,0,0,2023-02-09,
GCA_034769275.1,Gallus gallus,chicken,9031,,,,,CVASU_Gallus_Gallus_GG1F,Chromosome,,91200165,63016,996204998,129,35380,41.5,100,0,0,2023-12-29,
GCA_030914275.2,Gallus gallus,chicken,9031,,,,,ASM3091427v2,Chromosome,,90877777,48829679,1025951901,126,316,42,101,0,0,2024-03-22,
GCA_016699485.1,Gallus gallus,chicken,9031,,,,,bGalGal1.mat.broiler.GRCg7b,Chromosome,reference genome,90861225,18834961,1053315467,213,676,42,102.01,0,0,2021-01-19,
GCF_016699485.2,Gallus gallus,chicken,9031,,,,,bGalGal1.mat.broiler.GRCg7b,Chromosome,reference genome,90861225,18834961,1053315467,213,676,42,102.01,25635,18023,2021-01-19,NCBI Gallus gallus Annotation Release 106
GCA_030979905.2,Gallus gallus,chicken,9031,,,,,ASM3097990v2,Chromosome,,90729915,23646952,1027403116,618,1123,42,36,0,0,2024-03-22,
GCA_024652985.1,Gallus gallus,chicken,9031,,,,,ASM2465298v1,Chromosome,,90570627,218587,1023494120,1339,14501,42,87,0,0,2022-08-15,
GCA_016700215.2,Gallus gallus,chicken,9031,,,,,bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ,Chromosome,,90563926,17744542,1050511239,276,685,42,102.01,0,0,2021-10-01,
GCF_016700215.2,Gallus gallus,chicken,9031,,,,,bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ,Chromosome,,90563926,17744542,1050511239,276,685,42,102.01,25564,17981,2021-10-01,NCBI Gallus gallus Annotation Release 106
GCA_024652995.1,Gallus gallus,chicken,9031,,,,,ASM2465299v1,Chromosome,,90557900,246868,1036653693,1355,16316,42,95,0,0,2022-08-15,
GCA_030914265.2,Gallus gallus,chicken,9031,,,,,ASM3091426v2,Chromosome,,90535393,62778941,1035844433,341,629,42,110,0,0,2024-03-22,
GCA_030849555.2,Gallus gallus,chicken,9031,,,,,ASM3084955v2,Chromosome,,90525302,59720364,1037065285,133,376,42,109,0,0,2024-03-22,
GCA_039997075.1,Gallus gallus,chicken,9031,,,,,ASM3999707v1,Chromosome,,90511606,40292119,1023165347,304,412,42,100,0,0,2024-05-31,
GCA_024653045.1,Gallus gallus,chicken,9031,,,,,ASM2465304v1,Chromosome,,90469443,246386,1036335579,1194,14808,42,93,0,0,2022-08-15,
GCA_024653035.1,Gallus gallus,chicken,9031,,,,,ASM2465303v1,Chromosome,,90425439,257189,1018159992,1001,12606,42,89,0,0,2022-08-15,
GCA_024653025.1,Gallus gallus,chicken,9031,,,,,ASM2465302v1,Chromosome,,90290900,290226,1024875044,1566,12660,42,91,0,0,2022-08-15,
GCA_025370635.1,Gallus gallus,chicken,9031,,,,,ASM2537063v1,Chromosome,,90285403,333100,1031193845,1342,12498,42,90,0,0,2022-09-23,
GCA_002798355.1,Gallus gallus,chicken,9031,,,,,Ogye1.0,Chromosome,,90110113,639813,1021005462,1821,7721,41.5,243.8,0,0,2017-12-05,
GCA_000003025.6,Sus scrofa,pig,9823,,,,,Sscrofa11.1,Chromosome,,88231837,48231277,2501895775,705,1117,42,65,0,0,2017-02-07,
GCF_000003025.6,Sus scrofa,pig,9823,,,,,Sscrofa11.1,Chromosome,reference genome,88231837,48231277,2501895775,705,1117,42,65,30371,20666,2017-02-07,NCBI Sus scrofa Annotation Release 106
GCA_027408225.1,Gallus gallus,chicken,9031,,,,,bGalGal5.pri,Chromosome,,87475253,8326736,1109044877,252,712,42.5,32.67,0,0,2022-12-28,
GCA_041920315.1,Gallus gallus,chicken,9031,,,,,ASM4192031v1,Chromosome,,86588210,72465781,1136064920,401,538,42.5,183,0,0,2024-09-16,
GCA_039998725.1,Anas platyrhynchos,mallard,8839,,,,,IASCAAS_LianchengWhiteDuck,Chromosome,,83980382,12173573,1291275890,142,818,43,88,0,0,2024-05-31,
GCA_055691045.1,Gallus gallus,chicken,9031,,,,,XFBC_1.0,Chromosome,,83786400,21756992,1131132139,575,759,42.5,58.35,0,0,2026-03-05,
GCA_055697225.1,Gallus gallus,chicken,9031,,,,,ASM5569722v1,Chromosome,,80683582,21415541,1121864345,150,426,42.5,51,0,0,2026-03-04,
GCA_047663525.1,Anas platyrhynchos,mallard,8839,,,,,IASCAAS_PekinDuck_T2T,Complete Genome,reference genome,80154792,80154792,1261969826,41,41,43,194.2,0,0,2025-02-12,
GCF_047663525.1,Anas platyrhynchos,mallard,8839,,,,,IASCAAS_PekinDuck_T2T,Complete Genome,reference genome,80154792,80154792,1261969826,41,41,43,194.2,26024,17676,2025-02-12,GCF_047663525.1-RS_2025_03
GCA_054730915.1,Anas platyrhynchos,mallard,8839,,,,,ASM5473091v1,Chromosome,,79802745,43225645,1281866887,111,129,43,107,0,0,2026-01-26,
GCA_002224895.2,Anas platyrhynchos,mallard,8839,,,,,ASM222489v2,Chromosome,,79458228,146179,1257176136,17149,64454,42,100,0,0,2025-07-15,
GCA_030704485.1,Anas platyrhynchos,mallard,8839,,,,,NAwild_v1.0,Chromosome,,79203680,42971,1045548955,2459,55944,41,444,0,0,2023-08-14,
GCA_008746955.4,Anas platyrhynchos,mallard,8839,,,,,CAU_Wild_2.0,Chromosome,,76953781,76953781,1221947637,161,164,42.5,662,0,0,2025-11-14,
GCA_037218355.1,Anas platyrhynchos,mallard,8839,,,,,Pekin_C18,Chromosome,,76569693,68969317,1159662675,134,163,42,118,0,0,2024-03-18,
GCA_048756695.1,Anas platyrhynchos,mallard,8839,,,,,JRJ_1.0,Chromosome,,76290100,15273318,1181095098,43,756,42,589.55,0,0,2025-03-21,
GCA_015476345.1,Anas platyrhynchos,mallard,8839,,,,,ZJU1.0,Chromosome,,76269206,5679408,1188516685,755,1660,42.5,143,0,0,2020-11-23,
GCF_015476345.1,Anas platyrhynchos,mallard,8839,,,,,ZJU1.0,Chromosome,,76269206,5679408,1188516685,755,1660,42.5,143,25093,16836,2020-11-23,NCBI Anas platyrhynchos Annotation Release 104
GCA_053542945.1,Anas platyrhynchos,mallard,8839,,,,,SKLFABB.AnasPla.SX1.0,Chromosome,,76267873,76267873,1206629822,204,204,42.5,121,0,0,2025-11-18,
GCA_003850225.1,Anas platyrhynchos,mallard,8839,,,,,IASCAAS_PekingDuck_PBH1.5,Chromosome,,76129154,36811,1126159488,2149,73852,41.5,50,0,0,2018-11-29,
GCF_003850225.1,Anas platyrhynchos,mallard,8839,,,,,IASCAAS_PekingDuck_PBH1.5,Chromosome,,76129154,36811,1126159488,2149,73852,0,50,24277,15747,2018-11-29,NCBI Anas platyrhynchos Annotation Release 103
GCA_047301635.1,Anas platyrhynchos,mallard,8839,,,,,YG_jdduck,Chromosome,,76075831,10900000,1154847137,306,515,42,60,0,0,2025-01-30,
GCA_900411745.1,Anas platyrhynchos,mallard,8839,,,,,duckbase.refseq.v4,Chromosome,,74035964,29908,1087903987,32,130433,41,64,0,0,2020-06-28,
GCA_963513975.1,Fringilla coelebs,chaffinch,37598,,,,,bFriCoe1.1,Chromosome,reference genome,73246393,3733973,1209226962,459,1032,44,42,0,0,2023-09-28,
GCA_964188345.1,Anas platyrhynchos,mallard,8839,,,,,bAnaPla2.hap1.1,Chromosome,,69288905,3518761,1300232380,935,1506,43,65,0,0,2024-06-21,
GCA_053567815.1,Anas platyrhynchos,mallard,8839,,,,,SKLAFABB.AnasPla1.0,Chromosome,,67225228,67225228,1305679444,834,859,43,50,0,0,2025-11-18,
GCA_905319855.2,Canis lupus,wolf,9612,,,,,mCanLor1.2,Chromosome,,65778685,34375412,2447447219,81,247,41.5,28,0,0,2021-03-26,
GCA_034620435.1,Canis lupus,wolf,9612,,,,,Clu-1,Chromosome,,64498519,44625132,2351850695,119,191,41,48,0,0,2023-12-27,
GCA_040361135.1,Anas platyrhynchos,mallard,8839,,,,,ASM4036113v1,Chromosome,,64456614,14901487,1281425178,440,729,42.5,73,0,0,2024-06-28,
GCA_016271365.2,Neoceratodus forsteri,Australian lungfish,7892,,Ceratodontiformes,Ceratodontidae,Neoceratodus,neoFor_v3.1,Chromosome,reference genome,1485207024,1402697193,34557648077,46,50,45,30,0,0,2023-05-16,
GCA_040581445.1,Lepidosiren paradoxa,South American lungfish,7883,,Ceratodontiformes,Lepidosirenidae,Lepidosiren,ASM4058144v1,Chromosome,reference genome,1992257274,11627988,87218830714,15903,36686,40.5,23,0,0,2024-07-19,
GCA_019279795.1,Protopterus annectens,West African lungfish,7888,,Ceratodontiformes,Protopteridae,Protopterus,PAN1.0,Chromosome,reference genome,1974114035,1603140,40054324612,12667,74227,40,50,0,0,2021-07-20,
GCF_019279795.1,Protopterus annectens,West African lungfish,7888,,Ceratodontiformes,Protopteridae,Protopterus,PAN1.0,Chromosome,reference genome,1974114035,1603140,40054324612,12667,74227,40,50,30570,22039,2021-07-20,NCBI Protopterus annectens Annotation Release 100
GCA_040939525.1,Protopterus annectens,West African lungfish,7888,,Ceratodontiformes,Protopteridae,Protopterus,ASM4093952v1,Chromosome,,1950821829,3414998,40524157013,7124,31562,40,42,0,0,2024-08-01,
GCA_037176945.1,Latimeria chalumnae,coelacanth,7897,,Coelacanthiformes,Coelacanthidae,Latimeria,fLatCha1.pri,Chromosome,reference genome,188107785,42076942,2947609019,197,351,42.5,41.94,0,0,2024-03-18,
GCF_037176945.1,Latimeria chalumnae,coelacanth,7897,,Coelacanthiformes,Coelacanthidae,Latimeria,fLatCha1.pri,Chromosome,reference genome,188107785,42076942,2947609019,197,351,42.5,41.94,28938,19735,2024-03-18,GCF_037176945.1-RS_2024_04
GCA_030867095.1,Alligator mississippiensis,American alligator,8496,,Crocodylia,Alligatoridae,Alligator,rAllMis1,Chromosome,reference genome,255078640,38556409,2346779227,194,355,45,35.86,0,0,2023-08-24,
GCF_030867095.1,Alligator mississippiensis,American alligator,8496,,Crocodylia,Alligatoridae,Alligator,rAllMis1,Chromosome,reference genome,255078640,38556409,2346779227,194,355,45,35.86,31016,20269,2023-08-24,GCF_030867095.1-RS_2023_09
GCA_052110815.1,Crocodylus siamensis,Siamese crocodile,68455,,Crocodylia,Crocodylidae,Crocodylus,ASM5211081v1,Chromosome,reference genome,247920864,22917388,2128057549,744,1420,45,17,0,0,2025-08-18,
GCA_054825085.1,Crocodylus niloticus,Nile crocodile,8501,,Crocodylia,Crocodylidae,Crocodylus,rCroNil1.hap2,Chromosome,reference genome,222540633,111505586,2344593006,73,124,45.5,81.78,0,0,2026-01-29,
GCA_054954115.1,Crocodylus niloticus,Nile crocodile,8501,,Crocodylia,Crocodylidae,Crocodylus,rCroNil1.hap1,Chromosome,,220680538,110865934,2340748198,122,158,45.5,81.78,0,0,2026-01-29,
GCA_030020295.1,Gavialis gangeticus,Gharial,94835,,Crocodylia,Gavialidae,Gavialis,rGavGan2.hap2,Chromosome,,257319116,84235120,2328538659,160,278,45,35,0,0,2023-05-22,
GCA_033958435.1,Carettochelys insculpta,pitted-shelled turtle,44489,,Testudines,Carettochelyidae,Carettochelys,ASM3395843v1,Chromosome,reference genome,130115908,126464372,2180317067,134,146,45.5,34,0,0,2023-11-27,
GCF_033958435.1,Carettochelys insculpta,pitted-shelled turtle,44489,,Testudines,Carettochelyidae,Carettochelys,ASM3395843v1,Chromosome,reference genome,130115908,126464372,2180317067,134,146,45.5,34,24778,18883,2023-11-27,GCF_033958435.1-RS_2025_07
GCA_040894355.2,Myuchelys georgesi,Bellinger river turtle,1041117,,Testudines,Chelidae,Myuchelys,rMyuGeo1.pri,Chromosome,reference genome,123447689,56181416,1980039302,109,186,43,25,0,0,2025-02-07,
GCA_054346155.1,Emydura subglobosa,,251359,,Testudines,Chelidae,Emydura,ASM5434615v1,Chromosome,reference genome,122085354,99727220,2002938025,274,289,43,47,0,0,2026-01-05,
GCA_049999965.1,Hydromedusa tectifera,,61327,,Testudines,Chelidae,Hydromedusa,rHydTec1.pri,Chromosome,reference genome,118569001,63372439,1849762660,39,152,43,52,0,0,2025-04-29,
GCA_965140275.1,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,rCarCar1.hap2,Chromosome,,137610697,119638208,2206382585,33,85,44,55,26024,26024,2025-02-13,Annotation submitted by Vertebrate Genomes Project
GCA_965140235.1,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,rCarCar1.hap1,Chromosome,reference genome,137541926,124322749,2217236305,36,97,44,55,24360,24360,2025-02-13,Annotation submitted by Vertebrate Genomes Project
GCF_965140235.1,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,rCarCar1.hap1,Chromosome,reference genome,137541926,124322749,2217236305,36,97,44,55,27672,20304,2025-02-13,GCF_965140235.1-RS_2025_07
GCA_965140295.1,Lepidochelys olivacea,Pacific ridley,27788,,Testudines,Cheloniidae,Lepidochelys,rLepOli2.hap1,Chromosome,reference genome,137258246,91320439,2206568898,43,112,44,60,21473,21473,2025-02-13,Annotation submitted by Vertebrate Genomes Project
GCA_030012505.1,Eretmochelys imbricata,hawksbill sea turtle,27787,,Testudines,Cheloniidae,Eretmochelys,ASM3001250v1,Chromosome,,137212766,82034986,2296226205,208,303,44,81,0,0,2023-05-15,
GCA_965152285.1,Eretmochelys imbricata,hawksbill sea turtle,27787,,Testudines,Cheloniidae,Eretmochelys,rEreImb1.hap2,Chromosome,,137068235,80994248,2224324466,41,173,44,46,25779,25778,2025-02-16,Annotation submitted by Vertebrate Genomes Project
GCA_965140255.1,Lepidochelys olivacea,Pacific ridley,27788,,Testudines,Cheloniidae,Lepidochelys,rLepOli2.hap2,Chromosome,,137004717,90076186,2208046144,40,115,44,60,24067,24067,2025-02-13,Annotation submitted by Vertebrate Genomes Project
GCA_965140265.1,Lepidochelys kempii,Atlantic ridley,8472,,Testudines,Cheloniidae,Lepidochelys,rLepKem1.hap2,Chromosome,,136811586,59796335,2204769334,88,332,44,35,25966,25966,2025-03-26,Annotation submitted by Vertebrate Genomes Project
GCF_965140265.1,Lepidochelys kempii,Atlantic ridley,8472,,Testudines,Cheloniidae,Lepidochelys,rLepKem1.hap2,Chromosome,,136811586,59796335,2204769334,88,332,44,35,23775,19286,2025-03-26,GCF_965140265.1-RS_2025_04
