"","Chrysochloris_asiatica","Dugong_dugon","Echinops_telfairi","Elephantulus_edwardii","Elephas_maximus","Heterohyrax_brucei","Loxodonta_africana","Microgale_talazaci","Procavia_capensis","Trichechus_manatus","Acinonyx_jubatus","Ailuropoda_melanoleuca","Ailurus_fulgens","Arctocephalus_gazella","Bassariscus_astutus","Bassariscus_sumichrasti","Callorhinus_ursinus","Canis_latrans","Chrysocyon_brachyurus","Crocuta_crocuta","Cryptoprocta_ferox","Erignathus_barbatus","Eumetopias_jubatus","Felis_catus","Felis_nigripes","Gulo_gulo","Halichoerus_grypus","Helarctos_malayanus","Helogale_parvula","Hyaena_hyaena","Leptonychotes_weddellii","Lontra_canadensis","Lutra_lutra","Lycaon_pictus","Lynx_canadensis","Lynx_pardinus","Martes_zibellina","Mellivora_capensis","Mirounga_angustirostris","Mirounga_leonina","Mungos_mungo","Mustela_erminea","Mustela_putorius","Nasua_narica","Neofelis_nebulosa","Neovison_vison","Nyctereutes_procyonoides","Odobenus_rosmarus","Otocyon_megalotis","Panthera_leo","Panthera_onca","Panthera_pardus","Paradoxurus_hermaphroditus","Phoca_largha","Phoca_vitulina","Potos_flavus","Procyon_lotor","Pteronura_brasiliensis","Puma_concolor","Spilogale_gracilis","Suricata_suricatta","Ursus_americanus","Ursus_maritimus","Vulpes_lagopus","Vulpes_vulpes","Zalophus_californianus","Antrozous_pallidus","Artibeus_jamaicensis","Carollia_perspicillata","Cynopterus_brachyotis","Eidolon_dupreanum","Eidolon_helvum","Eonycteris_spelaea","Eptesicus_fuscus","Lasiurus_borealis","Leptonycteris_yerbabuenae","Macroglossus_sobrinus","Macrotus_californicus","Megaderma_lyra","Megaderma_spasma","Miniopterus_natalensis","Miniopterus_schreibersii","Molossus_molossus","Myotis_brandtii","Myotis_davidii","Myotis_lucifugus","Myotis_myotis","Myotis_septentrionalis","Noctilio_leporinus","Nycticeius_humeralis","Phyllostomus_discolor","Pipistrellus_kuhlii","Pipistrellus_pipistrellus","Plecotus_auritus","Pteropus_alecto","Pteropus_giganteus","Pteropus_rufus","Pteropus_vampyrus","Rhinolophus_ferrumequinum","Rhinolophus_hipposideros","Rhinolophus_sinicus","Rousettus_aegyptiacus","Rousettus_leschenaultii","Tadarida_brasiliensis","Condylura_cristata","Erinaceus_europaeus","Scalopus_aquaticus","Solenodon_paradoxus","Sorex_araneus","Suncus_etruscus","Talpa_occidentalis","Lepus_americanus","Lepus_timidus","Ochotona_princeps","Oryctolagus_cuniculus","Sylvilagus_floridanus","Antechinus_flavipes","Didelphis_virginiana","Dromiciops_gliroides","Gracilinanus_agilis","Gymnobelideus_leadbeateri","Macropus_fuliginosus","Macropus_giganteus","Monodelphis_domestica","Phalanger_gymnotis","Phascolarctos_cinereus","Sarcophilus_harrisii","Trichosurus_vulpecula","Vombatus_ursinus","Diceros_bicornis","Equus_caballus","Equus_zebra","Rhinoceros_unicornis","Tapirus_indicus","Tapirus_terrestris","Manis_javanica","Manis_pentadactyla","Allenopithecus_nigroviridis","Alouatta_palliata","Aotus_nancymaae","Ateles_belzebuth","Ateles_chamek","Ateles_geoffroyi","Ateles_marginatus","Ateles_paniscus","Cacajao_calvus","Cacajao_melanocephalus","Callimico_goeldii","Callithrix_jacchus","Cebus_albifrons","Cercocebus_atys","Cercopithecus_mona","Cercopithecus_neglectus","Cheirogaleus_medius","Chlorocebus_aethiops","Chlorocebus_sabaeus","Colobus_guereza","Daubentonia_madagascariensis","Erythrocebus_patas","Eulemur_fulvus","Eulemur_macaco","Eulemur_mongoz","Galago_moholi","Galago_senegalensis","Gorilla_beringei","Gorilla_gorilla","Hylobates_agilis","Hylobates_moloch","Hylobates_pileatus","Lemur_catta","Leontopithecus_chrysomelas","Leontopithecus_rosalia","Lophocebus_aterrimus","Loris_tardigradus","Macaca_arctoides","Macaca_assamensis","Macaca_cyclopis","Macaca_fascicularis","Macaca_fuscata","Macaca_mulatta","Macaca_nemestrina","Macaca_nigra","Macaca_silenus","Mandrillus_leucophaeus","Mandrillus_sphinx","Microcebus_murinus","Mirza_coquereli","Nasalis_larvatus","Nomascus_leucogenys","Nycticebus_bengalensis","Nycticebus_coucang","Otolemur_crassicaudatus","Otolemur_garnettii","Pan_paniscus","Pan_troglodytes","Papio_anubis","Papio_hamadryas","Papio_papio","Pithecia_pithecia","Pongo_abelii","Pongo_pygmaeus","Prolemur_simus","Propithecus_coquereli","Pygathrix_nemaeus","Pygathrix_nigripes","Rhinopithecus_bieti","Rhinopithecus_roxellana","Saguinus_imperator","Saguinus_midas","Saguinus_oedipus","Saimiri_boliviensis","Saimiri_sciureus","Sapajus_apella","Semnopithecus_entellus","Symphalangus_syndactylus","Theropithecus_gelada","Trachypithecus_francoisi","Trachypithecus_germaini","Varecia_variegata","Ornithorhynchus_anatinus","Tachyglossus_aculeatus","Acomys_cahirinus","Acomys_dimidiatus","Acomys_russatus","Aplodontia_rufa","Apodemus_sylvaticus","Arvicanthis_niloticus","Arvicola_amphibius","Castor_canadensis","Cavia_aperea","Cavia_porcellus","Cavia_tschudii","Chinchilla_lanigera","Coendou_prehensilis","Cricetomys_gambianus","Ctenodactylus_gundi","Cynomys_gunnisoni","Dasyprocta_punctata","Dinomys_branickii","Dipodomys_ordii","Dipodomys_stephensi","Dolichotis_patagonum","Eliomys_quercinus","Ellobius_talpinus","Glis_glis","Graphiurus_murinus","Heterocephalus_glaber","Hydrochoerus_hydrochaeris","Hystrix_cristata","Ictidomys_tridecemlineatus","Jaculus_jaculus","Marmota_flaviventris","Marmota_monax","Marmota_vancouverensis","Mastomys_coucha","Meriones_unguiculatus","Mesocricetus_auratus","Microtus_agrestis","Microtus_arvalis","Microtus_fortis","Microtus_ochrogaster","Microtus_oeconomus","Mus_caroli","Mus_musculus","Mus_spicilegus","Mus_spretus","Muscardinus_avellanarius","Myocastor_coypus","Myodes_glareolus","Neotoma_lepida","Octodon_degus","Ondatra_zibethicus","Onychomys_torridus","Pachyuromys_duprasi","Pedetes_capensis","Peromyscus_crinitus","Peromyscus_eremicus","Peromyscus_leucopus","Peromyscus_nasutus","Petromus_typicus","Psammomys_obesus","Rattus_norvegicus","Rattus_rattus","Rhombomys_opimus","Sciurus_carolinensis","Sciurus_niger","Sciurus_vulgaris","Sigmodon_hispidus","Spermophilus_dauricus","Thryonomys_swinderianus","Xerus_inauris","Zapus_hudsonius","Aepyceros_melampus","Alces_alces","Ammotragus_lervia","Antidorcas_marsupialis","Antilocapra_americana","Axis_porcinus","Beatragus_hunteri","Bos_frontalis","Bos_grunniens","Bos_taurus","Capra_hircus","Capra_ibex","Capra_sibirica","Capreolus_pygargus","Connochaetes_taurinus","Damaliscus_lunatus","Elaphurus_davidianus","Eudorcas_thomsonii","Giraffa_camelopardalis","Hippotragus_equinus","Hydropotes_inermis","Kobus_ellipsiprymnus","Litocranius_walleri","Madoqua_kirkii","Moschus_moschiferus","Muntiacus_crinifrons","Muntiacus_muntjak","Muntiacus_reevesi","Nanger_granti","Neotragus_pygmaeus","Odocoileus_virginianus","Okapia_johnstoni","Oreamnos_americanus","Oreotragus_oreotragus","Oryx_dammah","Oryx_gazella","Ovis_ammon","Ovis_aries","Ovis_canadensis","Philantomba_maxwellii","Procapra_przewalskii","Rangifer_tarandus","Raphicerus_campestris","Redunca_redunca","Saiga_tatarica","Sylvicapra_grimmia","Syncerus_caffer","Tragelaphus_imberbis","Tragelaphus_scriptus","Tragelaphus_strepsiceros","Tragulus_javanicus","Tragulus_kanchil","Tupaia_belangeri","Tupaia_tana","Babyrousa_celebensis","Catagonus_wagneri","Sus_scrofa","Camelus_bactrianus","Camelus_dromedarius","Lama_glama","Vicugna_pacos","Balaena_mysticetus","Balaenoptera_edeni","Balaenoptera_musculus","Balaenoptera_physalus","Cephalorhynchus_commersonii","Delphinapterus_leucas","Eschrichtius_robustus","Eubalaena_australis","Eubalaena_glacialis","Globicephala_melas"
"MYO15A",1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,2,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,0,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,0,2,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,2,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,4,1,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,2,0,0,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0
"ALKBH5",1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"APOH",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PITPNM3",1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
"SPAG7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ORC6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ZFHX4",1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"SLC17A6",1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"CPA1",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ZC3HC1",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,2,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ESR1",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"RGS17",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ANGPT2",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,1,1,1,1,1,0,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
