"","Max Longevity Simple Phylo Ranking Pathways W Or","Max Longevity Zero Filtered Poisson Pglmm 20250702 110253 Pathways","Mlres Simple Phylo Ranking Pathways W Or","Mlres Zero Filtered Poisson Pglmm 20250707 075917 Pathways"
"MEDICUS REFERENCE ACH CHRN RAS ERK SIGNALING PATHWAY",1.03118142909492,1.01830135906661,-0.792261782598267,1.27618049780786
"MEDICUS REFERENCE ACTH CORTISOL SIGNALING PATHWAY",0.968194170734423,-1.0851770939511,0.703780239435966,0.933048212979399
"MEDICUS REFERENCE ACTIVATION OF PRC2.2 BY UBIQUITINATION OF H2AK119",0.57032842924753,-0.895309325140592,-1.03787759264117,1.13006632917741
"MEDICUS REFERENCE ACTIVATION OF PRC2.2 BY UBIQUITINATION OF H2AK119 IN GERMLINE GENES",1.05756445108628,-0.825289653679587,-0.915902975048312,1.04505441508887
"MEDICUS REFERENCE ADRB3 UCP1 SIGNALING PATHWAY",1.16786789038441,-1.12908858431478,-0.932885906040269,-0.745367623972039
"MEDICUS REFERENCE AGE RAGE SIGNALING PATHWAY",1.04960581448911,0.902974782681269,-0.71491485432411,1.13091075095651
"MEDICUS REFERENCE ALTERNATIVE PATHWAY OF COMPLEMENT CASCADE C3B BREAKDOWN",-1.44552931509901,-0.992964529975971,-1.11876771816307,-0.834089421941637
"MEDICUS REFERENCE ANGIOTENSIN ALDOSTERONE SIGNALING PATHWAY",1.07859279107518,-1.35259489474246,-0.779642198597182,-1.0775177168405
"MEDICUS REFERENCE ANTEROGRADE AXONAL TRANSPORT",0.969228570946693,1.2736748018964,-0.638779657342465,1.17804346987132
"MEDICUS REFERENCE ANTIGEN PROCESSING AND PRESENTATION BY MHC CLASS II MOLECULES",-0.951082308598196,1.48938418815571,-0.97071241723035,1.59512599746768
"MEDICUS REFERENCE ANTIGEN PROCESSING AND PRESENTATION BY MHC CLASS I MOLECULES",-0.922877107797881,-0.549352901773117,1.12287112837316,1.14763226857432
"MEDICUS REFERENCE AREG EGFR PI3K SIGNALING PATHWAY",-0.723246625161774,-1.13914600021966,-0.722250903458957,-0.96108762350585
"MEDICUS REFERENCE AREG EGFR RAS ERK SIGNALING PATHWAY",1.03441080638662,0.990053441331486,-0.822657499437508,1.21765624206293
"MEDICUS REFERENCE ARL8 REGULATED MICROTUBULE PLUS END DIRECTED TRANSPORT",1.10372152340547,1.23901346167697,-0.638779657342465,1.12350823056448
"MEDICUS REFERENCE ARNO ARF ACTB G SIGNALING PATHWAY",1.04902562206141,-0.567955895868178,-1.14445590662001,0.773866018110864
"MEDICUS REFERENCE ASSEMBLY AND TRAFFICKING OF TELOMERASE",1.58476184806326,0.698854971807654,-1.19976637202993,0.869503244345653
"MEDICUS REFERENCE ATR SIGNALING",-1.29757786573396,-1.55060153508893,-1.27723283427981,-1.62622659584697
"MEDICUS REFERENCE AUTOPHAGOSOME AND LYSOSOME FUSION TETHERING FACTOR",-1.14140202478229,0.891752508029092,1.02261237617345,1.03127272047559
"MEDICUS REFERENCE AUTOPHAGOSOME AND LYSOSOME FUSION TETHERING FACTOR GRASP55",-0.893479803825029,0.95728926572857,1.02261237617345,1.09302271588087
"MEDICUS REFERENCE AUTOPHAGY VESICLE NUCLEATION ELONGATION MATURATION LC3 II FORMATION",-0.893479803825029,0.875822214171818,-1.37658514918617,1.16358148544104
"MEDICUS REFERENCE AUTOPHAGY VESICLE NUCLEATION ELONGATION MATURATION MTORC1 PI3KC3 C1",0.701883406955936,-0.786983794888899,-1.28549303045947,-0.672118494537448
"MEDICUS REFERENCE AUTOPHAGY VESICLE NUCLEATION ELONGATION MATURATION PI3P SYNTHESIS BY PI3KC3 C1",0.847780132318842,-0.661918525502636,0.88956447246556,0.623936238894195
"MEDICUS REFERENCE AUTOPHAGY VESICLE NUCLEATION ELONGATION MATURATION SEQUESTOSOME 1 LIKE RECEPTOR",-1.89284480931391,1.0424015011018,-0.868030029416307,1.29080968471607
"MEDICUS REFERENCE AVP V2R PKA SIGNALING PATHWAY",1.00324725537478,-1.17607212650427,-0.932885906040269,0.732265012981411
"MEDICUS REFERENCE BCR BCAP CD19 PI3K SIGNALING PATHWAY",1.2443054237108,-0.99450417451385,-1.00170808421691,-0.846051570984029
"MEDICUS REFERENCE BCR PLCG CALCINEURIN SIGNALING PATHWAY",1.13434161989121,-1.23424826853425,-1.13591560099323,-0.868167072073578
"MEDICUS REFERENCE BCR PLCG ITPR SIGNALING PATHWAY",-0.932123971328274,-1.10081799712099,-1.0144553433144,-1.0755369644716
"MEDICUS REFERENCE BETA OXIDATION ACYL COA SYNTHESIS",0.81698811807896,-0.684324059469397,-0.698502839442437,1.05543319313299
"MEDICUS REFERENCE BILE ACID BIOSYNTHESIS",1.15877115320253,-1.19786774207745,-1.13589853469727,-0.772333118910732
"MEDICUS REFERENCE BMP SIGNALING PATHWAY",0.990130251163775,-0.867619841300431,-1.30626843840434,0.668520239382993
"MEDICUS REFERENCE BMP SIGNALING PATHWAY BMP ANTAGONIST",1.01827031507908,-1.402115540973,-1.30626843840434,-1.36483539422829
"MEDICUS REFERENCE BRANCHING MICROTUBULE NUCLEATION",0.768292867801152,1.26758566806425,-0.638779657342465,1.2039715650882
"MEDICUS REFERENCE C9ORF72 MEDIATED AUTOPHAGY INITIATION",0.752869277083867,0.723567537138454,-1.28549303045947,0.791888901736883
"MEDICUS REFERENCE CA2 CAM CAMK SIGNALING PATHWAY",1.25646736911495,-1.01507690929639,-0.842013574484957,0.757804738475585
"MEDICUS REFERENCE CA2 CAM CN SIGNALING PATHWAY",1.08929290871176,-1.23203945567332,-1.06686124550762,-0.762682389188509
"MEDICUS REFERENCE CA2 CAM VGCC RYR SIGNALING PATHWAY",1.10707215886724,-1.42046381286753,1.30521024916541,-1.38491447430608
"MEDICUS REFERENCE CA2 ENTRY LIGAND GATED CA2 CHANNEL",-0.803570946679218,1.20363909465187,-1.14541808156827,1.2394506926317
"MEDICUS REFERENCE CA2 ENTRY VOLTAGE GATED CA2 CHANNEL",1.10096991175417,-1.89339433035856,1.69027158026592,-1.67924647007201
"MEDICUS REFERENCE CA2 PYK2 RAS ERK SIGNALING PATHWAY",1.03441080638662,1.07702532278257,-0.822657499437508,1.30979986255628
"MEDICUS REFERENCE CARDIAC TYPE VGCC RYR SIGNALING",0.976805289749713,-1.8427137851209,1.4661120401056,-1.62922486491234
"MEDICUS REFERENCE CCR2 GNB G PI3K NFKB SIGNALING PATHWAY",-0.816998224708562,0.518069303459372,-0.747654960852071,1.06466739287754
"MEDICUS REFERENCE CCR5 GNB G PLCB G PKC SIGNALING PATHWAY",1.30318260283575,0.656525001726147,-0.926204352696482,1.198014226263
"MEDICUS REFERENCE CCR CXCR GNB G PI3K RAC SIGNALING PATHWAY",1.45681408890162,0.99388654114122,-0.604678544782362,1.50075361541246
"MEDICUS REFERENCE CD80 CD86 CTLA4 PP2A SIGNALING PATHWAY",0.711699858279584,-0.73516292480651,0.682922080399483,0.899797519756245
"MEDICUS REFERENCE CENPE INTERACTION WITH NDC80 COMPLEX",0.646916151926568,1.12441505318155,1.16096855628053,1.30457322169819
"MEDICUS REFERENCE CGAS STING SIGNALING PATHWAY",0.744624656264228,1.72687695387498,2.0149508135352,1.4966724722011
"MEDICUS REFERENCE CHRNA7 E2F SIGNALING PATHWAY",-0.90647223945112,-0.669988123612981,-1.07279297883325,0.719456256481724
"MEDICUS REFERENCE CITRATE CYCLE SECOND CARBON OXIDATION 2",1.08432426158489,-0.721974919526467,-1.06814661848219,0.727355662832115
"MEDICUS REFERENCE CLASSICAL PATHWAY OF COMPLEMENT CASCADE C4 C2 TO C3 CONVERTASE FORMATION",1.29664851622044,1.17804484861835,-0.796592669075891,1.02170311360063
"MEDICUS REFERENCE COHESIN DISSOCIATION IN ANAPHASE",1.14188484461841,-1.01561165484918,-1.02736189984512,-1.17996232049563
"MEDICUS REFERENCE COHESIN DISSOCIATION IN PROPHASE",1.01765179133356,1.1218160075124,-1.00767390843651,1.40534964414983
"MEDICUS REFERENCE COHESIN LOADING",1.10132757230554,0.878897204598943,1.22115285263678,1.01313070354677
"MEDICUS REFERENCE CONDENSIN LOADING",0.838126735889125,-0.662958396005137,0.682922080399483,0.780956433319366
"MEDICUS REFERENCE COPII VESICLE FORMATION",0.860711396229133,0.53202142161751,0.752391052363624,0.905077284593128
"MEDICUS REFERENCE COPI VESICLE FORMATION",-1.36064976673367,0.759598715260204,-0.923884697170887,0.958914709587463
"MEDICUS REFERENCE CORE NER REACTION",-1.27925520010742,-0.919812288883091,-1.24574083634486,-0.689788427655108
"MEDICUS REFERENCE CREATINE PATHWAY",0.731047257315969,1.41296020085414,1.07572839974676,1.41786546721004
"MEDICUS REFERENCE CRHR PKA ACTH SIGNALING PATHWAY",0.925736318488204,-0.918143670244163,-0.795001749320971,1.03962531413631
"MEDICUS REFERENCE CROSSTALK BETWEEN EXTRINSIC AND INTRINSIC APOPTOTIC PATHWAYS",-1.31282002583565,-1.35924741872348,-0.956719625651439,-1.22170439806387
"MEDICUS REFERENCE CXCL12 CXCR4 PKC ERK SIGNALING PATHAWAY",1.46798308566093,-0.856130348280599,-0.71491485432411,0.849513373858486
"MEDICUS REFERENCE CXCR4 GNA12 13 RHO SIGNALING PATHWAY",0.769213240755738,-0.955690944169794,-1.345379452762,0.661916198351963
"MEDICUS REFERENCE CXCR4 GNAQ PLCB G CALCINEURIN SIGNALING PATHWAY",1.08929290871176,-1.52554331784108,-1.06686124550762,-1.17327515036249
"MEDICUS REFERENCE CXCR4 GNB G PLCB PKC SIGNALING PATHWAY",1.30318260283575,-0.891959156276345,-0.649405108672766,0.937307527950463
"MEDICUS REFERENCE CXCR4 GNB G RAC SIGNALING PATHWAY",-0.975705013049573,0.85447493143695,-0.926204352696482,1.09624325856583
"MEDICUS REFERENCE CXCR GNB G ERK SIGNALING PATHWAY",1.36043105840209,1.18302616824265,-0.937979158168005,1.5401147213347
"MEDICUS REFERENCE CXCR GNB G PI3K AKT SIGNALING PATHWAY",1.20316012148411,0.765961067349721,-0.926204352696482,1.39553888620335
"MEDICUS REFERENCE CYTOKINE JAK STAT SIGNALING PATHWAY",-1.49664145833375,0.756328837714927,-1.17192556477924,1.03623814464516
"MEDICUS REFERENCE DEPHOSPHORYLATION OF KINETOCHORE",0.646916151926568,0.929629044914026,1.16096855628053,1.16057796060706
"MEDICUS REFERENCE DEUBIQUITINATION OF H2AK119",-1.01382504432486,-1.00816723674225,0.759095016503944,-0.918663748225951
"MEDICUS REFERENCE DISASSEMBLY OF MCC",1.34190363175121,-1.04503674872338,-1.02736189984512,-1.01844400236127
"MEDICUS REFERENCE DNA REPLICATION TERMINATION",1.33756659844699,-0.95862468755528,-1.45324892678059,-0.670004062134569
"MEDICUS REFERENCE DOUBLE HOLLIDAY JUNCTION RESOLUTION",-0.68561428043791,1.13803026423009,-0.921528136293237,1.1529189473722
"MEDICUS REFERENCE DOUBLE STRAND BREAK SIGNALING",0.922960634618815,0.715932041997785,0.86377999500279,1.04215980125624
"MEDICUS REFERENCE DRD1 GNAS AC PKA SIGNALING PATHWAY",0.925736318488204,0.819488155506539,-0.858196340785202,1.23924711532432
"MEDICUS REFERENCE DYNEIN RECRUITMENT TO THE KINETOCHORE",0.759387230571215,-1.11272720131086,-1.15354542108562,0.700245067813849
"MEDICUS REFERENCE E2 ER RAS ERK SIGNALING PATHWAY",1.03118142909492,0.951442012084765,-0.792261782598267,1.23109149834918
"MEDICUS REFERENCE EARLY ENDOSOMAL FUSION",0.529734325294717,1.01006190759325,-1.05972498088568,1.16651402031958
"MEDICUS REFERENCE EGF EGFR ACTIN SIGNALING PATHWAY",0.94238380279046,-0.71327130210205,-1.08367819444874,-0.473595334538402
"MEDICUS REFERENCE EGF EGFR PLCG CALCINEURIN SIGNALING PATHWAY",1.08929290871176,-1.45804908798946,-1.06686124550762,-1.02254266797446
